t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	0.000000000000000000e+00	7.071067811865474617e-01	7.071067811865474617e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00
1.000667111407605066e-02	-9.969567050973519168e-03	7.066587931489423102e-01	7.074842456183009221e-01	-7.044640188202659636e-03	-4.477003659582034513e-04	9.999750859941468617e-01	3.517922305193661949e-06	-3.509127499430676517e-05	9.999999993781134577e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00
2.001334222815210132e-02	-1.992516472960767851e-02	7.060204574102406649e-01	7.079110830667455501e-01	-1.406632011673068956e-02	-1.084698609944143195e-03	9.999004760811444070e-01	1.665131149867378265e-05	-1.399682205017684544e-04	9.999999900658155250e-01	6.949586297169271781e-07	1.133069053005518764e-07	9.999999999997520872e-01	-3.491647439436996168e-10	1.723957168241572338e-09	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00
3.002001334222815371e-02	-2.986380473575349359e-02	7.051920326706431208e-01	7.083871471339323600e-01	-2.105970856691732895e-02	-1.910031962248192553e-03	9.997763952269427268e-01	4.195756248505493746e-05	-3.141271939437743259e-04	9.999999497818331529e-01	2.770870858766384371e-06	4.935967482725470205e-07	9.999999999960393904e-01	-3.433517309452547220e-09	1.544024445178888457e-08	9.999999999999998890e-01	-5.089531548630484911e-11	-1.359091868250473308e-11	1.000000000000000000e+00	2.590469208067102688e-14	-8.381693153284363994e-14	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00
4.002668445630420263e-02	-3.978249519693610042e-02	7.041738041976940421e-01	7.089122700007763900e-01	-2.801951508233878688e-02	-2.922570471913016679e-03	9.996031039149425590e-01	8.197263512606669611e-05	-5.569801302057155639e-04	9.999998415267983276e-01	6.904847461007605986e-06	1.326359482221157656e-06	9.999999999752818836e-01	-1.380568124623918676e-08	5.809272075886915852e-08	9.999999999999983347e-01	-3.375897605994232919e-10	-9.581832890306202864e-11	1.000000000000000000e+00	4.398037897714864493e-13	-1.331718810391633370e-12	1.000000000000000000e+00	3.277897143254459468e-15	1.235945660796245915e-15	1.000000000000000000e+00	-1.702557745474404668e-18	4.030667470771671290e-18	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00
5.003335557038025155e-02	-4.967823951235922353e-02	7.029660843916444302e-01	7.094862625266484812e-01	-3.494049573707697781e-02	-4.121018916984166280e-03	9.993808978366223172e-01	1.392084728298752553e-04	-8.678553648821534135e-04	9.999996137239587357e-01	1.376391268836896662e-05	2.828493104856140326e-06	9.999999999012773033e-01	-3.855970570973727537e-08	1.531618775880838406e-07	9.999999999999875655e-01	-1.243113393696686149e-09	-3.716034219479082616e-10	1.000000000000000000e+00	2.583635100401036875e-12	-7.447520950716165037e-12	1.000000000000000000e+00	3.254785920820208784e-14	1.288151875784830827e-14	1.000000000000000000e+00	-4.446951453991347330e-17	9.983716340376504541e-17	1.000000000000000000e+00	-1.955651726799447794e-19	-9.721167333110850300e-20	1.000000000000000000e+00
6.004002668445630742e-02	-5.954803523304432605e-02	7.015692134387333523e-01	7.101089143609177201e-01	-4.181745880229954110e-02	-5.503918951230244751e-03	9.991101075534650766e-01	2.161504500400284867e-04	-1.245998534452309780e-03	9.999992003829978326e-01	2.400381831578278814e-05	5.247857282071679339e-06	9.999999996981383532e-01	-8.769905576808993748e-08	3.305100354848475162e-07	9.999999999999416023e-01	-3.410734347733961882e-09	-1.068402815577512254e-09	1.000000000000000000e+00	9.778031776936760508e-12	-2.699124944456845847e-11	1.000000000000000000e+00	1.649105378508377550e-13	6.802273575394925678e-14	1.000000000000000000e+00	-3.585326406778122142e-16	7.727085345247258540e-16	1.000000000000000000e+00	-2.710127950479939738e-18	-1.409761614272290812e-18	1.000000000000000000e+00
7.004669779853235634e-02	-6.938887298250134839e-02	6.999835600508003131e-01	7.107799940662553606e-01	-4.864527030009783287e-02	-7.069651481307955877e-03	9.987910981308169012e-01	3.152548505093548934e-04	-1.690573552522716934e-03	9.999985212866280282e-01	3.826787534706995944e-05	8.862787088183833088e-06	9.999999992285103501e-01	-1.744971804948762418e-07	6.262108822929879722e-07	9.999999999997887246e-01	-7.803864159780147281e-09	-2.553001003894384607e-09	1.000000000000000000e+00	2.872267407958460852e-11	-7.618997875910186222e-11	1.000000000000000000e+00	5.911898379087227799e-13	2.531871727862517661e-13	1.000000000000000000e+00	-1.761986689596932374e-15	3.662121133051747292e-15	1.000000000000000000e+00	-1.798827042658723732e-17	-9.729650672139923708e-18	1.000000000000000000e+00
8.005336891260840526e-02	-7.919773542226724028e-02	6.982095222894773023e-01	7.114992492534931712e-01	-5.541885943391457875e-02	-8.816439267781292499e-03	9.984242687443456443e-01	4.389463782348234071e-04	-2.200663661246280225e-03	9.999974821995939456e-01	5.718580464940148681e-05	1.398156751788346882e-05	9.999999982671499144e-01	-3.158500829438808339e-07	1.082363665185878435e-06	9.999999999993645083e-01	-1.576356082430042932e-08	-5.372321231238874414e-09	9.999999999999998890e-01	7.134291116878262663e-11	-1.822970355678402142e-10	1.000000000000000000e+00	1.704892583015201907e-12	7.562001385558504394e-13	1.000000000000000000e+00	-6.478245706979918488e-15	1.302004080406640432e-14	1.000000000000000000e+00	-8.118519227286728222e-17	-4.550332282239322106e-17	1.000000000000000000e+00
9.006004002668445418e-02	-8.897159626658290854e-02	6.962475284730497149e-01	7.122664067278099420e-01	-6.213322388531532237e-02	-1.074234974286498480e-02	9.980100522598053248e-01	5.896157029220887389e-04	-2.775272556997917476e-03	9.999959750996786356e-01	8.137260776060116995e-05	2.094186946346650346e-05	9.999999964699685107e-01	-5.326203282298260182e-07	1.746892368049772087e-06	9.999999999983323340e-01	-2.906343889630340548e-08	-1.029813275478673614e-08	9.999999999999995559e-01	1.571257595949666570e-10	-3.874674207789205087e-10	1.000000000000000000e+00	4.225641063680838254e-12	1.937608891239822515e-12	1.000000000000000000e+00	-1.960582919515416104e-14	3.817537523441713747e-14	1.000000000000000000e+00	-2.865090491217008742e-16	-1.660303070215170114e-16	1.000000000000000000e+00
