t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	-7.507612434293426951e-01	-3.575166761945625105e-01	5.554632135499337764e-01	4.491897181671584693e-01	-7.045945297359392789e-01	-5.493406463744506807e-01	-3.730541983479076368e-02	9.992826389199870318e-01	6.520215031489881227e-03	-4.148124008707641808e-02	-8.441704108663399264e-01	5.344676081284936986e-01	-7.667527483985558945e-01	2.994054539245372126e-01	-5.678438138991237505e-01	-4.890925350494958468e-01	-8.719741201306113743e-01	2.120438589782143793e-02	-9.058145165708183510e-01	-2.120464882577527965e-01	3.667919688149257063e-01	1.613137597903430975e-01	-2.897562828639250188e-01	-9.434082718755355534e-01	-6.689859174327889013e-01	4.172826848342507389e-01	6.150878012236375980e-01	3.958334580585188833e-01	-7.441264272823558956e-01	5.381372814639694413e-01
1.000667111407605066e-02	-7.367314256504510217e-01	-3.741825302907360040e-01	5.632177558318597344e-01	4.481249715466943950e-01	-7.031614935102801223e-01	-5.520397847263064373e-01	-4.766240798209651214e-02	9.988571921029868461e-01	3.550302731488645235e-03	-2.582927992040796525e-02	-8.489645138921462220e-01	5.278182475537058771e-01	-7.739129700262104006e-01	3.082004302534970264e-01	-5.532370284216064915e-01	-4.778244837905628040e-01	-8.784286927729398897e-01	6.840643500896754180e-03	-8.951575895978197694e-01	-2.366618559511626252e-01	3.777354308549469297e-01	1.583610512388022029e-01	-2.777304721195045234e-01	-9.475165235006821618e-01	-6.729455401840004347e-01	4.030491625821222557e-01	6.202383997208764654e-01	4.044888278655006109e-01	-7.416109994375633674e-01	5.351653143143826341e-01
2.001334222815210132e-02	-7.221519378768315178e-01	-3.905570266532763513e-01	5.709306328727588031e-01	4.469217841217968945e-01	-7.017619440861456726e-01	-5.547892326909594773e-01	-5.809344590871895475e-02	9.983109666277295569e-01	6.045273024534770796e-04	-1.023580210611567225e-02	-8.533844560589458617e-01	5.211815408398703386e-01	-7.809920612567564646e-01	3.164340038151503554e-01	-5.384430531480890458e-01	-4.669484807804700210e-01	-8.842523940503496105e-01	-7.537898449582439327e-03	-8.836344180361140888e-01	-2.613351816762291002e-01	3.884509468134043075e-01	1.552061048978956304e-01	-2.656819507350188792e-01	-9.514852421640905833e-01	-6.766289751665894858e-01	3.886697488797936084e-01	6.253871251238938278e-01	4.131123541835967083e-01	-7.390158167385358912e-01	5.321595676403473307e-01
3.002001334222815371e-02	-7.070259169074900596e-01	-4.066210559339081265e-01	5.785962924979010102e-01	4.455798447900212733e-01	-7.003975743600461268e-01	-5.575857241245191220e-01	-6.859768381690996286e-02	9.976417236417320922e-01	-2.312795734388050240e-03	5.290448362995129293e-03	-8.574376465954826054e-01	5.145606799561338596e-01	-7.879910868606745389e-01	3.241048990669866403e-01	-5.234749864405282560e-01	-4.564827812527127437e-01	-8.894623578105289585e-01	-2.191311155273385075e-02	-8.712325886783627293e-01	-2.860278562095953658e-01	3.989258601506575075e-01	1.518510702254687594e-01	-2.536184128579732633e-01	-9.553109196124487390e-01	-6.800293387961383607e-01	3.741507063311320103e-01	6.305325902190955789e-01	4.217030591619553848e-01	-7.363415935270104518e-01	5.291196344264227358e-01
4.002668445630420263e-02	-6.913572960382653454e-01	-4.223553001315905608e-01	5.862090835746341932e-01	4.440989419091057044e-01	-6.990700556468714133e-01	-5.604258979500257309e-01	-7.917415740062881679e-02	9.968472504466586726e-01	-5.197314386989847906e-03	2.074115230115426700e-02	-8.611317689499545791e-01	5.079585427043651347e-01	-7.949109195358674551e-01	3.312123958250685063e-01	-5.083453342507038286e-01	-4.464441698813563231e-01	-8.940762268737839635e-01	-3.626711620855659068e-02	-8.579415624195061429e-01	-3.107000001320635585e-01	4.091476327575563343e-01	1.482983916411375613e-01	-2.415478148079801268e-01	-9.589902190315298114e-01	-6.831398605929167589e-01	3.594986404347685349e-01	6.356733897172691661e-01	4.302599497982539933e-01	-7.335890450364804805e-01	5.260451393198768422e-01
5.003335557038025155e-02	-6.751508331035560584e-01	-4.377402661493650649e-01	5.937632625475049997e-01	4.424789695098610975e-01	-6.977810342653653075e-01	-5.633063019007054084e-01	-8.982179095786305134e-02	9.959253634451077364e-01	-8.044645166311368764e-03	3.610840992402351152e-02	-8.644747496964764188e-01	5.013776918351803280e-01	-8.017522104197266630e-01	3.377562814924148782e-01	-4.930660071425518876e-01	-4.368479593638505687e-01	-8.981120706404341902e-01	-5.058229897495040289e-02	-8.437527864390721444e-01	-3.353105612127329493e-01	4.191038808165626905e-01	1.445508138164320888e-01	-2.294783621914266158e-01	-9.625199964213458914e-01	-6.859538977383730085e-01	3.447205003235059850e-01	6.408081045322735481e-01	4.387820168228263040e-01	-7.307588887918098353e-01	5.229357399955109065e-01
6.004002668445630742e-02	-6.584121371943952861e-01	-4.527563217406634366e-01	6.012530005904117569e-01	4.407199334602200924e-01	-6.965321278851462905e-01	-5.662233967919457767e-01	-1.005394006254972661e-01	9.948739107140549542e-01	-1.085037798365595142e-02	5.138473324236924461e-02	-8.674747288236949183e-01	4.948203755322406749e-01	-8.085153614292404090e-01	3.437368049658410807e-01	-4.776483217230227951e-01	-4.277079933262387113e-01	-9.015883065381975481e-01	-6.484132909207906970e-02	-8.286598010082585342e-01	-3.598174219508714078e-01	4.287824122484292788e-01	1.406113858233604685e-01	-2.174184952706389173e-01	-9.658973217123471011e-01	-6.884649498743680152e-01	3.298235786716390838e-01	6.459353061620931591e-01	4.472682336599537178e-01	-7.278518460894602971e-01	5.197911285342120546e-01
7.004669779853235634e-02	-6.411476938511961876e-01	-4.673837338167542987e-01	6.086723913837411848e-01	4.388219575416732465e-01	-6.953249216419364886e-01	-5.691735613351422973e-01	-1.113256977068536463e-01	9.936907741979772446e-01	-1.361008096622388572e-02	6.656303740591668072e-02	-8.701400314596987595e-01	4.882885291532182426e-01	-8.152004994487063172e-01	3.491546325179204491e-01	-4.621030061467417682e-01	-4.190366532284576229e-01	-9.045236254269035658e-01	-7.902717441275565469e-02	-8.126583398795459434e-01	-3.841775170755600821e-01	4.381712656004250195e-01	1.364834640623422690e-01	-2.053768726182575999e-01	-9.691194994587031264e-01	-6.906666740985409891e-01	3.148155107419849386e-01	6.510535611498662334e-01	4.557175554738728263e-01	-7.248686435548202800e-01	5.166110328128042939e-01
8.005336891260840526e-02	-6.233648885254865490e-01	-4.816027090706652691e-01	6.160154595214344386e-01	4.367852893974596418e-01	-6.941609640296267925e-01	-5.721530975040132194e-01	-1.221792920630267038e-01	9.923738715167846891e-01	-1.631930518636320188e-02	8.163663114092706286e-02	-8.724791410688523818e-01	4.817837781159902688e-01	-8.218074523699555600e-01	3.540108059099755233e-01	-4.464402093541449124e-01	-4.108448689762682626e-01	-9.069369210280687765e-01	-9.312311695814086410e-02	-7.957464232130072590e-01	-4.083469606941209085e-01	4.472587502057164266e-01	1.321707138977042673e-01	-1.933623531046559096e-01	-9.721840889407733499e-01	-6.925529001068754242e-01	2.997042725485176695e-01	6.561614356008130811e-01	4.641289183070501645e-01	-7.218100147724454407e-01	5.133952179026697316e-01
9.006004002668445418e-02	-6.050720281022721192e-01	-4.953934368557189050e-01	6.232761695496485954e-01	4.346103063102186859e-01	-6.930417625798572789e-01	-5.751582364611870224e-01	-1.330986955402238547e-01	9.909211573856622213e-01	-1.897358930067243390e-02	9.659920641677050002e-02	-8.745006741393114291e-01	4.753074418200707862e-01	-8.283357269775440956e-01	3.583067029528246294e-01	-4.306695137012367947e-01	-4.031421329765116357e-01	-9.088472234030282593e-01	-1.071127682947029397e-01	-7.779244420027052742e-01	-4.322811826674639035e-01	4.560334874177533471e-01	1.276771099375085539e-01	-1.813839762836828018e-01	-9.750889235067363714e-01	-6.941176454325542755e-01	2.844981781149201194e-01	6.612574997294607959e-01	4.725012383182241593e-01	-7.186767019843285365e-01	5.101434874745276460e-01
