t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	6.465427863794011021e-01	-5.306909317712204394e-02	-7.610296293378583377e-01	5.031323651473059710e-01	-5.801013834670460945e-01	6.405780265048880429e-01	7.586068648311711238e-01	2.371399585715111280e-01	6.068609928803492259e-01	6.797411339606133085e-01	2.394517928139750784e-01	-6.932638961608433847e-01	7.711817800344542007e-02	-8.613278966420502281e-01	5.021623652640752056e-01	6.382191670585635190e-01	-4.931393450430026637e-01	5.911766920047100138e-01	-5.465763105976663150e-01	-6.782964205218541265e-01	-4.910888948048851566e-01	-7.652356467463428125e-01	-6.402001985324260458e-01	-6.751378190968576609e-02	8.768626531587170314e-01	4.802912181441678086e-01	2.079022051463107895e-02	8.664347534779690552e-01	4.673831572028188663e-01	-1.756240368762087001e-01
1.000667111407605066e-02	6.511536476202989254e-01	-4.872621244200220358e-02	-7.573801445851591208e-01	5.168049024631925503e-01	-5.775508889161454773e-01	6.319396043153018283e-01	7.511443869038600951e-01	2.457786726384305898e-01	6.126785079459823313e-01	6.826962774732981964e-01	2.498702827571890883e-01	-6.866517563648578681e-01	9.291210912904196428e-02	-8.658342562129328623e-01	4.916282953059050165e-01	6.388584888615194135e-01	-4.767527736491734558e-01	6.037935276461612322e-01	-5.372667026245318000e-01	-6.822077701737130351e-01	-4.959204054740773970e-01	-7.624968745852539476e-01	-6.430894679182269646e-01	-7.095387586574483652e-02	8.730085733721748564e-01	4.871544895193057334e-01	2.316320702892575578e-02	8.624975454275767284e-01	4.747390660272047813e-01	-1.752735100322421746e-01
2.001334222815210132e-02	6.557198180842084279e-01	-4.430133837739427816e-02	-7.537034639628403809e-01	5.304271037958713242e-01	-5.746124124278589873e-01	6.232717409305189582e-01	7.435436654214091501e-01	2.541506682591367916e-01	6.185064716194403900e-01	6.854873947895759878e-01	2.603717248768438464e-01	-6.799364650239442254e-01	1.089189924539165494e-01	-8.699109372668279994e-01	4.810318225506213241e-01	6.389448697696992197e-01	-4.604042423630611558e-01	6.162608108658846895e-01	-5.279565964688750501e-01	-6.860528801828579271e-01	-5.005929262762375265e-01	-7.598013310795906916e-01	-6.458825593253699759e-01	-7.441543421221269439e-02	8.690878544722121513e-01	4.940004712329189585e-01	2.549187381384851458e-02	8.584861645153660792e-01	4.820850609855380497e-01	-1.749156920069384613e-01
3.002001334222815371e-02	6.602384135837984225e-01	-3.979590062229389907e-02	-7.500010156806521389e-01	5.439878302027016943e-01	-5.712887880904263804e-01	6.145781977857077694e-01	7.358132817543344695e-01	2.622519431643094978e-01	6.243418396202998766e-01	6.881104700092279813e-01	2.709549775527486659e-01	-6.731176577709643283e-01	1.251234711170665370e-01	-8.735503963836142027e-01	4.703762557290143143e-01	6.384793701701511059e-01	-4.441156272406706629e-01	6.285741034339170641e-01	-5.186487935317347642e-01	-6.898350781209546811e-01	-5.051049336147214186e-01	-7.571496343980077537e-01	-6.485802588904998611e-01	-7.789787486507963876e-02	8.651012004511563491e-01	5.008277828072750237e-01	2.777489777330164125e-02	8.544004900671006153e-01	4.894199828850882561e-01	-1.745505168306823729e-01
4.002668445630420263e-02	6.647066248517405906e-01	-3.521140260393535587e-02	-7.462742525404925109e-01	5.574761388689065678e-01	-5.675831877162087480e-01	6.058627564174268176e-01	7.279620210844318651e-01	2.700787883072233164e-01	6.301815166800526224e-01	6.905614413885787783e-01	2.816187547812170622e-01	-6.661949959454853687e-01	1.415099292195440284e-01	-8.767457277026046158e-01	4.596649528596998824e-01	6.374639646761877110e-01	-4.279087882989926483e-01	6.407290867720958349e-01	-5.093459088538280222e-01	-6.935577556070655625e-01	-5.094549879735773557e-01	-7.545423631493053396e-01	-6.511833545205061302e-01	-8.140062044286179577e-02	8.610493593278579771e-01	5.076350488735480448e-01	3.001096393379979257e-02	8.502404269595115194e-01	4.967426605121827432e-01	-1.741779136141728690e-01
5.003335557038025155e-02	6.691217199749449618e-01	-3.054941735042048662e-02	-7.425246507405131036e-01	5.708812938408627247e-01	-5.634991111452809509e-01	5.971292155648230127e-01	7.199988637673759850e-01	2.776277997726087632e-01	6.360223588578531873e-01	6.928362063617053979e-01	2.923616236023452442e-01	-6.591681668579884024e-01	1.580625234471126073e-01	-8.794906734691251282e-01	4.489013187353717571e-01	6.359015425591990622e-01	-4.118055228551485425e-01	6.527215635451529829e-01	-5.000503657579769001e-01	-6.972243568866171026e-01	-5.136417310434936434e-01	-7.519800567108300138e-01	-6.536926352892901138e-01	-8.492309978869300169e-02	8.569331228616543505e-01	5.144209000600910020e-01	3.219876587602113482e-02	8.460059060952311860e-01	5.040519113434066556e-01	-1.737978064391073330e-01
6.004002668445630742e-02	6.734810466129461659e-01	-2.581158325473954795e-02	-7.387537086357093274e-01	5.841927762407179703e-01	-5.590403761963084195e-01	5.883813881917512312e-01	7.119329760182402378e-01	2.848958905049030488e-01	6.418611759806246431e-01	6.949306266032717616e-01	3.031820017040089965e-01	-6.520368839655733550e-01	1.747652151743354920e-01	-8.817796328245549597e-01	4.380888023002429965e-01	6.337959056224660159e-01	-3.958275189555990337e-01	6.645474589926989584e-01	-4.907643911626372590e-01	-7.008383671849988117e-01	-5.176638826963214646e-01	-7.494632155611246072e-01	-6.561088908240704232e-01	-8.846474949033200641e-02	8.527533262365037947e-01	5.211839738521875098e-01	3.433700616276173789e-02	8.416968848593306962e-01	5.113465422734740917e-01	-1.734101142467214252e-01
7.004669779853235634e-02	6.777820339996079024e-01	-2.099959980235414914e-02	-7.349629454574532206e-01	5.974002939486227071e-01	-5.542111082891326701e-01	5.796230984346900650e-01	7.037736999147675698e-01	2.918803018188763643e-01	6.476947342061692980e-01	6.968405331212766951e-01	3.140781551964449969e-01	-6.448008869625201367e-01	1.916018029350828322e-01	-8.836076688158793768e-01	4.272308939224700453e-01	6.311517635287942074e-01	-3.799963090604013827e-01	6.762028220105007481e-01	-4.814900115808845027e-01	-7.044033008757289993e-01	-5.215202378270827888e-01	-7.469923016178757758e-01	-6.584329106793916919e-01	-9.202501539197249780e-02	8.485108477163306739e-01	5.279229154224908127e-01	3.642439676276799931e-02	8.373133475567259287e-01	5.186253503592017644e-01	-1.730147507241652505e-01
8.005336891260840526e-02	6.820221947279718755e-01	-1.611522327441967245e-02	-7.311538999945607076e-01	6.104937907401204455e-01	-5.490157297641024003e-01	5.708581784816157967e-01	6.955305427151591280e-01	2.985786146546151043e-01	6.535197587076361225e-01	6.985617313688176067e-01	3.250481965502319825e-01	-6.374599417896323894e-01	2.085559551433190106e-01	-8.849705136089867086e-01	4.163311225658057890e-01	6.279747266053185006e-01	-3.643332241455450315e-01	6.876838259903220729e-01	-4.722290498161967887e-01	-7.079226895036259126e-01	-5.252096630828921864e-01	-7.445677385823408212e-01	-6.606654836971581624e-01	-9.560335409167962373e-02	8.442066082726239484e-01	5.346363784314442924e-01	3.845965946991893730e-02	8.328553058297402112e-01	5.258871235789915888e-01	-1.726116241887099001e-01
9.006004002668445418e-02	6.861991263187221524e-01	-1.116026243859148323e-02	-7.273281292386017949e-01	6.234634548675588306e-01	-5.434589489237566795e-01	5.620904653872835777e-01	6.872131654891677766e-01	3.049887605379272837e-01	6.593329364773887757e-01	7.000900063648969329e-01	3.360900826895052984e-01	-6.300138405668245234e-01	2.256112429475618519e-01	-8.858645718981578154e-01	4.053930528651790710e-01	6.242712961601635246e-01	-3.488593483835522036e-01	6.989867694283725674e-01	-4.629831223633433801e-01	-7.114000697037067278e-01	-5.287310934986241273e-01	-7.421899122915667224e-01	-6.628073973512000894e-01	-9.919923441824091137e-02	8.398415711853302046e-01	5.413230257970639281e-01	4.044152631722903318e-02	8.283227990551200737e-01	5.331306416071861509e-01	-1.722006374697882536e-01
