t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	-3.190204239129748598e-01	1.815713779334416633e-01	-9.301923477656313111e-01	5.918561985960291150e-01	-5.301623529475630869e-01	6.071524682487600133e-01	-6.802232741851910180e-01	-7.198084086790317304e-01	-1.384635405142392583e-01	-7.813032861332929180e-01	6.130368006947103376e-01	1.172648970123273959e-01	2.310620785991550075e-01	5.246546556079579871e-01	-8.193581684357170714e-01	6.431824252524002139e-01	1.717700172737466127e-02	-7.655202926494493187e-01	8.167214943863730925e-01	5.233577371133946166e-01	-2.430281457173973092e-01	-9.319213528482320208e-02	-2.249730245642281301e-01	9.698981204948684542e-01	7.332884112608818450e-01	1.252102844386014657e-01	-6.682892267434035194e-01	6.047100756753905904e-01	-7.735285064326558047e-01	1.896822978370100166e-01
1.000667111407605066e-02	-3.174464036044213344e-01	1.843094603014232558e-01	-9.301923476797778756e-01	6.034505004213581714e-01	-5.169268689369863612e-01	6.071524567291284313e-01	-6.750007520793899207e-01	-7.247081016887906291e-01	-1.384635404678340731e-01	-7.888118680241696934e-01	6.033446617578227533e-01	1.172648966765349743e-01	2.344084203930215382e-01	5.231681224599969982e-01	-8.193581683796958837e-01	6.432645730722854616e-01	1.376119981195993158e-02	-7.655202926179459633e-01	8.140209437917503843e-01	5.275483138701564378e-01	-2.430281456974543730e-01	-8.653811609181367992e-02	-2.276154668289108729e-01	9.698981151252623611e-01	7.337056885624254621e-01	1.227414844205918371e-01	-6.682892267374709316e-01	6.153223238652377747e-01	-7.651137588321482719e-01	1.896822970095644323e-01
2.001334222815210132e-02	-3.158488835140486062e-01	1.870338986938792636e-01	-9.301923475939246622e-01	6.147488855125528007e-01	-5.034378969020931738e-01	6.071524452094974045e-01	-6.697429381471302623e-01	-7.295699039680932918e-01	-1.384635404214288878e-01	-7.962002253691518039e-01	5.935605657456591855e-01	1.172648963407425526e-01	2.377451991975675916e-01	5.216602460028766375e-01	-8.193581683236746960e-01	6.433285804393762408e-01	1.034500982233540686e-02	-7.655202925864428298e-01	8.112988916574647158e-01	5.317249559724647190e-01	-2.430281456775114091e-01	-7.980928987782509587e-02	-2.300611526129602014e-01	9.698981097556553799e-01	7.341146540514666974e-01	1.202712939211102866e-01	-6.682892267315383439e-01	6.258174923796209210e-01	-7.565534301995876509e-01	1.896822961821189035e-01
3.002001334222815371e-02	-3.142279819023447995e-01	1.897444914272959360e-01	-9.301923475080712267e-01	6.257458134299803687e-01	-4.897020514959316007e-01	6.071524336898667107e-01	-6.644501072886143112e-01	-7.343935613218317560e-01	-1.384635403750236748e-01	-8.034672320927214173e-01	5.836860038738375112e-01	1.172648960049501310e-01	2.410722788846599296e-01	5.201310877523399601e-01	-8.193581682676533973e-01	6.433744455486299918e-01	6.928528097139770824e-03	-7.655202925549394743e-01	8.085554098837637316e-01	5.358875530985420799e-01	-2.430281456575684729e-01	-7.301147320896095305e-02	-2.323079677673765830e-01	9.698981043860478435e-01	7.345153030950254402e-01	1.177997409238029369e-01	-6.682892267256057561e-01	6.361935842641959216e-01	-7.478491493410005519e-01	1.896822953546733193e-01
4.002668445630420263e-02	-3.125838187606752028e-01	1.924410378431198609e-01	-9.301923474222180133e-01	6.364358915611449952e-01	-4.757260684318080912e-01	6.071524221702366830e-01	-6.591225362348748229e-01	-7.391788215492725023e-01	-1.384635403286184896e-01	-8.106117806146770910e-01	5.737224811460712726e-01	1.172648956691576955e-01	2.443895237218534355e-01	5.185807100923482960e-01	-8.193581682116322096e-01	6.434021671066272319e-01	3.511850983238795458e-03	-7.655202925234363409e-01	8.057905709369364011e-01	5.400359952975942734e-01	-2.430281456376255089e-01	-6.615054228944516890e-02	-2.343539700519493563e-01	9.698980990164391969e-01	7.349076311543345508e-01	1.153268534277509944e-01	-6.682892267196729463e-01	6.464486252217833684e-01	-7.390025724527299333e-01	1.896822945272277350e-01
5.003335557038025155e-02	-3.109165158023989850e-01	1.951233383226119444e-01	-9.301923473363645778e-01	6.468138777650801474e-01	-4.615168011802567860e-01	6.071524106506068774e-01	-6.537605035333047265e-01	-7.439254344572417965e-01	-1.384635402822133043e-01	-8.176327820189431828e-01	5.636715161247889405e-01	1.172648953333652877e-01	2.476967983779280735e-01	5.170091762725352869e-01	-8.193581681556110219e-01	6.434117443316071938e-01	9.507483300827798873e-05	-7.655202924919329854e-01	8.030044478474003267e-01	5.441701729927156395e-01	-2.430281456176825450e-01	-5.923242788208214066e-02	-2.361973908142075695e-01	9.698980936468297731e-01	7.352916337848919293e-01	1.128526594471536415e-01	-6.682892267137403586e-01	6.565806639880248374e-01	-7.300153828063037365e-01	1.896822936997822062e-01
6.004002668445630742e-02	-3.092261964538596253e-01	1.977911943016250063e-01	-9.301923472505113644e-01	6.568746829429553680e-01	-4.470812176082663569e-01	6.071523991309776269e-01	-6.483642895330947731e-01	-7.486331518732068924e-01	-1.384635402358080913e-01	-8.245291662195326499e-01	5.535346406996859425e-01	1.172648949975728799e-01	2.509939679284101666e-01	5.154165504056272828e-01	-8.193581680995898342e-01	6.434031769534911405e-01	-3.321703998383137950e-03	-7.655202924604298520e-01	8.001971142077725085e-01	5.482899769837826787e-01	-2.430281455977396088e-01	-5.226311018155407190e-02	-2.378366365183164910e-01	9.698980882772194612e-01	7.356673066365100322e-01	1.103771870110105691e-01	-6.682892267078077708e-01	6.665877727026567889e-01	-7.208892904281517522e-01	1.896822928723366497e-01
7.004669779853235634e-02	-3.075129858452472220e-01	2.004444082853026610e-01	-9.301923471646579289e-01	6.666133735336322585e-01	-4.324263965624075556e-01	6.071523876113487095e-01	-6.429341763705751500e-01	-7.533017276582522070e-01	-1.384635401894028783e-01	-8.312998821236422531e-01	5.433133998542460930e-01	1.172648946617804722e-01	2.542808978610767157e-01	5.138028974648274350e-01	-8.193581680435686465e-01	6.433764652138881379e-01	-6.738389155691249834e-03	-7.655202924289264965e-01	7.973686441709246786e-01	5.523952984503387453e-01	-2.430281455777966726e-01	-4.524861364498733440e-02	-2.392702901225991496e-01	9.698980829076083721e-01	7.360346454533652771e-01	1.079004641628044658e-01	-6.682892267018749610e-01	6.764680472763319186e-01	-7.116260317742337804e-01	1.896822920448911209e-01
8.005336891260840526e-02	-3.057770108013363464e-01	2.030827838626997617e-01	-9.301923470788047155e-01	6.760251739329512510e-01	-4.175595243975416260e-01	6.071523760917203472e-01	-6.374704479544646141e-01	-7.579309177199480274e-01	-1.384635401429976931e-01	-8.379438977918511888e-01	5.330093514302675084e-01	1.172648943259880644e-01	2.575574540814431490e-01	5.121682832811647046e-01	-8.193581679875473478e-01	6.433316098660902815e-01	-1.015488428631356431e-02	-7.655202923974233631e-01	7.945191124480250888e-01	5.564860289544681926e-01	-2.430281455578537086e-01	-3.819500178425651316e-02	-2.404971123044918335e-01	9.698980775379965058e-01	7.363936460740472256e-01	1.054225189601834256e-01	-6.682892266959423733e-01	6.862196077529169047e-01	-7.022273693996363697e-01	1.896822912174456477e-01
9.006004002668445418e-02	-3.040183998320965530e-01	2.057061257213218530e-01	-9.301923469929512800e-01	6.851054688355580069e-01	-4.024878914528079443e-01	6.071523645720924289e-01	-6.319733899510260322e-01	-7.625204800251124126e-01	-1.384635400965925078e-01	-8.444602005954013890e-01	5.226240658904280911e-01	1.172648939901956566e-01	2.608235029182336961e-01	5.105127745408092332e-01	-8.193581679315261601e-01	6.432686121750497144e-01	-1.357109304300650396e-02	-7.655202923659200076e-01	7.916485943065657560e-01	5.605620604436611920e-01	-2.430281455379107725e-01	-3.110837192452763425e-02	-2.415160425318743642e-01	9.698980721683837514e-01	7.367443044316044354e-01	1.029433794746429792e-01	-6.682892266900097855e-01	6.958405986671980514e-01	-6.926950916232043065e-01	1.896822903900001467e-01
