t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01
1.000667111407605066e-02	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01	-2.963426282337260249e-03	9.931191256880246565e-02	9.950519394115042715e-01
2.001334222815210132e-02	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01	-5.915456673306405781e-03	9.903221352911487085e-02	9.950666450323165657e-01
3.002001334222815371e-02	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01	-8.853495001549360754e-03	9.866512903756373409e-02	9.950813071996973402e-01
4.002668445630420263e-02	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01	-1.177496513136278705e-02	9.821124260309876952e-02	9.950959260405553009e-01
5.003335557038025155e-02	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01	-1.467731320020767075e-02	9.767121336679135402e-02	9.951105016814374427e-01
6.004002668445630742e-02	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01	-1.755800982992566234e-02	9.704577529535513003e-02	9.951250342485288281e-01
7.004669779853235634e-02	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01	-2.041455230976587168e-02	9.633573631029393458e-02	9.951395238676561394e-01
8.005336891260840526e-02	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01	-2.324446674935626983e-02	9.554197735363691157e-02	9.951539706642863470e-01
9.006004002668445418e-02	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01	-2.604531019978608558e-02	9.466545139127616193e-02	9.951683747635285959e-01
