t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	-7.960825587262080338e-01	-3.463020019233734037e-01	4.963138957915618765e-01	-4.290562097226844340e-01	7.344805537396836836e-01	5.257842571593897008e-01	9.494541850920749232e-03	9.774298349260667207e-01	2.110468466275750299e-01	1.127690349368092176e-01	7.948886355290196715e-01	-5.961838658218068243e-01	-3.216858080478566251e-01	-5.392262464829412627e-01	-7.783015456778406005e-01	-4.881094720062290615e-01	-5.925885650951643324e-01	-6.407713600468222248e-01	-6.353488946907992485e-01	9.568309608919013665e-02	-7.662744463558514019e-01	2.760281190496510773e-01	-7.641878351727924290e-01	5.829454777831565293e-01	5.267109743671429811e-01	-8.331832066613968912e-01	-1.684674853455311039e-01	-6.143088658982660544e-01	-6.360453340397173028e-01	-4.669806744663965725e-01
1.000667111407605066e-02	-7.940634321961363984e-01	-3.602617340344782537e-01	4.895658777318560029e-01	-4.417791360979497761e-01	7.241589924337524797e-01	5.295516486480632556e-01	-8.139852063193266096e-03	9.765640632511061181e-01	2.150729484962693450e-01	1.125623700753415612e-01	7.971954854955347614e-01	-5.931349515486006307e-01	-3.163592105033103952e-01	-5.387288643993008996e-01	-7.808252433116911195e-01	-4.833971675264895351e-01	-5.927639393560284464e-01	-6.441724075327114329e-01	-6.449613842692666354e-01	1.007883465662103989e-01	-7.575397824523283363e-01	3.036474894120373413e-01	-7.550241726762521033e-01	5.811511858787761220e-01	5.291664409202750941e-01	-8.295608837801951019e-01	-1.783581170162725493e-01	-6.169297659649781718e-01	-6.396928943633520825e-01	-4.584655546139039806e-01
2.001334222815210132e-02	-7.918082816695588555e-01	-3.740799742743601275e-01	4.828082620734597818e-01	-4.543700505178218108e-01	7.135116575954782991e-01	5.333375775883274494e-01	-2.581546086072824750e-02	9.753932205758936158e-01	2.189557654758930438e-01	1.122985913486141268e-01	7.995709862637292442e-01	-5.899790371753598217e-01	-3.110382823714962774e-01	-5.382055177310300920e-01	-7.833198628805879693e-01	-4.787335924122623765e-01	-5.927573521662545808e-01	-6.476518115074649806e-01	-6.543984207766663230e-01	1.055251448316155000e-01	-7.487503927833838446e-01	3.308716797615161020e-01	-7.450673229930623309e-01	5.791360943161324437e-01	5.312502610761851152e-01	-8.260811909997126667e-01	-1.880505942106573125e-01	-6.192866432734960291e-01	-6.434825727181880950e-01	-4.499046922082799993e-01
3.002001334222815371e-02	-7.893239731251320279e-01	-3.877516618717137820e-01	4.760423449291880105e-01	-4.668217199735300582e-01	7.025368466759845942e-01	5.371400756073964056e-01	-4.352022147242411848e-02	9.739162047929784682e-01	2.226953442814474937e-01	1.119725014628582122e-01	8.020144962353439322e-01	-5.867153541066724154e-01	-3.057209695675920935e-01	-5.376563712727870925e-01	-7.857864310335413993e-01	-4.741246665617546152e-01	-5.925693401683815864e-01	-6.512045589905784970e-01	-6.636579039665495561e-01	1.098944064927860342e-01	-7.399198645288045384e-01	3.576738493366468652e-01	-7.343349059856251193e-01	5.769069798085205703e-01	5.329745909740846166e-01	-8.227492852534171730e-01	-1.975391074977269068e-01	-6.213784911343732675e-01	-6.474119510431385338e-01	-4.413009589861393578e-01
4.002668445630420263e-02	-7.866174270396840695e-01	-4.012719844197135677e-01	4.692694513787707966e-01	-4.791266761247015560e-01	6.912330203365968373e-01	5.409570591295038700e-01	-6.124208298260293976e-02	9.721323840826938678e-01	2.262919244905784444e-01	1.115788652894245669e-01	8.045252151902326787e-01	-5.833432393915560787e-01	-3.004052425316843244e-01	-5.370814445537115400e-01	-7.882259905481286966e-01	-4.695760890467937654e-01	-5.922007281622433394e-01	-6.548256211844696306e-01	-6.727380573605622471e-01	1.138974970409828008e-01	-7.310614655051489441e-01	3.840282925476007914e-01	-7.228456323570591202e-01	5.744705930726980991e-01	5.343517085474507322e-01	-8.195696906541077853e-01	-2.068182142209684660e-01	-6.232042964037081134e-01	-6.514784752772986298e-01	-4.326571404638152596e-01
5.003335557038025155e-02	-7.836956093650250255e-01	-4.146363765724832562e-01	4.624909373002071278e-01	-4.912772152413821813e-01	6.795988180937768686e-01	5.447863289678022136e-01	-7.896903206190886149e-02	9.700415951128384950e-01	2.297459373441562980e-01	1.111124182215650624e-01	8.071021829904971856e-01	-5.798621359676195963e-01	-2.950891007390596399e-01	-5.364806147438524464e-01	-7.906395971800749267e-01	-4.650933325966546406e-01	-5.916526171304865578e-01	-6.585099639464718768e-01	-6.816374094079352686e-01	1.175362091648487761e-01	-7.221881206657971841e-01	4.099104723002884865e-01	-7.106192245847737787e-01	5.718336491927432652e-01	5.353939821185933479e-01	-8.165463143376251454e-01	-2.158828396441821174e-01	-6.247630361455873693e-01	-6.556794556609732982e-01	-4.239759428201998470e-01
6.004002668445630742e-02	-7.805655226367925748e-01	-4.278405185691143697e-01	4.557081912158945647e-01	-5.032653990434013958e-01	6.676330743523554156e-01	5.486255700899371757e-01	-9.668911819821429665e-02	9.676441397168574765e-01	2.330580041399020474e-01	1.105678745600845309e-01	8.097442785080313232e-01	-5.762715926876608163e-01	-2.897705770013374038e-01	-5.358536197797012512e-01	-7.930283165646125898e-01	-4.606816390745633316e-01	-5.909263720773890727e-01	-6.622525577172421185e-01	-6.903547742795218545e-01	1.208127396444581836e-01	-7.133123912908500008e-01	4.352970480160147648e-01	-6.976763372917506034e-01	5.690028193003182633e-01	5.361138402217787702e-01	-8.136824637293578188e-01	-2.247282771303589222e-01	-6.260536749971106207e-01	-6.600120669829956377e-01	-4.152599998307639484e-01
7.004669779853235634e-02	-7.772341972141372235e-01	-4.408803345983111632e-01	4.489226361472284932e-01	-5.150830564814331547e-01	6.553348347855596501e-01	5.524723515637031124e-01	-1.143904786248604311e-01	9.649407800670539714e-01	2.362289342217856192e-01	1.099399359084334837e-01	8.124502187722989488e-01	-5.725712641316301754e-01	-2.844477415569733325e-01	-5.352000616918707321e-01	-7.953932211731220558e-01	-4.563460159110920844e-01	-5.900236097595483731e-01	-6.660483868972175703e-01	-6.988892324265456590e-01	1.237296660212134636e-01	-7.044464568329609211e-01	4.601658984823379650e-01	-6.840384774453828198e-01	5.659847235112847041e-01	5.365237427079249111e-01	-8.109808651049814632e-01	-2.333501873670909832e-01	-6.270751632275447518e-01	-6.644733487777332304e-01	-4.065118798107296705e-01
8.005336891260840526e-02	-7.737086826483858815e-01	-4.537519910162710612e-01	4.421357314708563857e-01	-5.267217865027028489e-01	6.427033730166293868e-01	5.563241266891527648e-01	-1.320613628469065326e-01	9.619327323669701890e-01	2.392597225694965413e-01	1.092232995583330701e-01	8.152185583345176179e-01	-5.687609102079550505e-01	-2.791187059505176871e-01	-5.345194101181842683e-01	-7.977353873280392804e-01	-4.520912334545030276e-01	-5.889461863821309207e-01	-6.698924586674568360e-01	-7.072401110284578518e-01	1.262899232279562356e-01	-6.956020993668228236e-01	4.844961396916409591e-01	-6.697279247497727184e-01	5.627859250498903343e-01	5.366361531762312564e-01	-8.084436833150431267e-01	-2.417445966556912851e-01	-6.278264354810582093e-01	-6.690602054764511752e-01	-3.977340925278568529e-01
9.006004002668445418e-02	-7.699960391782063596e-01	-4.664518944298811642e-01	4.353489747692639300e-01	-5.381729618425954431e-01	6.297382075530667533e-01	5.601782333234832656e-01	-1.496901566682017071e-01	9.586216590945229044e-01	2.421515469938467779e-01	1.084126668476554228e-01	8.180476888438223959e-01	-5.648403955492738993e-01	-2.737816267008144622e-01	-5.338110059857223977e-01	-8.000558922785124816e-01	-4.479218231945878426e-01	-5.876961853291780002e-01	-6.737798112555533070e-01	-7.154069644480084422e-01	1.284967803515237317e-01	-6.867906905736115286e-01	5.082681378417417406e-01	-6.547676525727401664e-01	5.594129254846296195e-01	5.364635127705212891e-01	-8.060725425419579260e-01	-2.499078942847864915e-01	-6.283064101905665444e-01	-6.737694065189211434e-01	-3.889290960478324344e-01
