t	x0	y0	z0	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9
0.000000000000000000e+00	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01	0.000000000000000000e+00	9.950371902099892918e-02	9.950371902099892640e-01
1.002004008016032024e-02	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01	-2.975235207068647504e-03	9.945923804972059412e-02	9.950371892256248962e-01
2.004008016032064049e-02	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01	-5.947810383930881434e-03	9.932581521721334239e-02	9.950371882412600844e-01
3.006012024048096073e-02	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01	-8.915067291900603125e-03	9.910356981999846049e-02	9.950371872568952725e-01
4.008016032064128098e-02	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01	-1.187435244765939688e-02	9.879270058458160253e-02	9.950371862725302385e-01
5.010020040080159776e-02	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01	-1.482301949614633907e-02	9.839348548975623832e-02	9.950371852881652046e-01
6.012024048096192147e-02	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01	-1.775843157707377926e-02	9.790628151803514034e-02	9.950371843037997266e-01
7.014028056112224518e-02	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01	-2.067796368295284765e-02	9.733152433643262047e-02	9.950371833194340265e-01
8.016032064128256196e-02	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01	-2.357900500651999992e-02	9.666972790688257988e-02	9.950371823350683265e-01
9.018036072144287874e-02	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01	-2.645896127546537233e-02	9.592148402664089912e-02	9.950371813507024044e-01
1.002004008016031955e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01	-2.931525707237516223e-02	9.508746179908332541e-02	9.950371803663362602e-01
1.102204408817635262e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01	-3.214533813781338123e-02	9.416840703537179835e-02	9.950371793819698940e-01
1.202404809619238429e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01	-3.494667365448340252e-02	9.316514158752448038e-02	9.950371783976033058e-01
