 t	x0	y0	z0	n
0.000000000000000000e+00	0.000000000000000000e+00	7.071067811865474617e-01	7.071067811865474617e-01	0.000000000000000000e+00
1.002004008016032024e-02	8.578927313196123630e-03	7.069782209552472052e-01	7.071832839519811564e-01	0.000000000000000000e+00
2.004008016032064049e-02	1.715527825469542744e-02	7.067455613732407382e-01	7.072597881310846990e-01	0.000000000000000000e+00
3.006012024048096073e-02	2.572778916935559296e-02	7.064088394514341784e-01	7.073362937170232234e-01	0.000000000000000000e+00
4.008016032064128098e-02	3.429519684099991556e-02	7.059681075482323598e-01	7.074128007029589771e-01	0.000000000000000000e+00
5.010020040080159776e-02	4.285623867892748157e-02	7.054234333653065514e-01	7.074893090820506547e-01	0.000000000000000000e+00
6.012024048096192147e-02	5.140965290439721003e-02	7.047748999410958781e-01	7.075658188474536203e-01	0.000000000000000000e+00
7.014028056112224518e-02	5.995417873705803646e-02	7.040226056420386680e-01	7.076423299923199073e-01	0.000000000000000000e+00
8.016032064128256196e-02	6.848855658129777979e-02	7.031666641515379457e-01	7.077188425097981073e-01	0.000000000000000000e+00
9.018036072144287874e-02	7.701152821248299918e-02	7.022072044566589621e-01	7.077953563930339254e-01	0.000000000000000000e+00
1.002004008016031955e-01	8.552183696306216165e-02	7.011443708325597601e-01	7.078718716351690698e-01	0.000000000000000000e+00
1.102204408817635262e-01	9.401822790850485057e-02	6.999783228246574396e-01	7.079483882293425845e-01	0.000000000000000000e+00
1.202404809619238429e-01	1.024994480530489332e-01	6.987092352285306784e-01	7.080249061686898493e-01	0.000000000000000000e+00
1.302605210420841597e-01	1.109642465152285012e-01	6.973372980675598409e-01	7.081014254463429136e-01	0.000000000000000000e+00
1.402805611222444904e-01	1.194113747131549247e-01	6.958627165683084481e-01	7.081779460554308292e-01	0.000000000000000000e+00
1.503006012024047933e-01	1.278395865495232930e-01	6.942857111336470100e-01	7.082544679890787620e-01	0.000000000000000000e+00
1.603206412825651239e-01	1.362476385963170000e-01	6.926065173136235487e-01	7.083309912404092135e-01	0.000000000000000000e+00
1.703406813627254546e-01	1.446342902791827034e-01	6.908253857740825898e-01	7.084075158025409102e-01	0.000000000000000000e+00
1.803607214428857575e-01	1.529983040614484868e-01	6.889425822630366181e-01	7.084840416685893594e-01	0.000000000000000000e+00
1.903807615230460881e-01	1.613384456277575651e-01	6.869583875747958812e-01	7.085605688316669593e-01	0.000000000000000000e+00
2.004008016032063910e-01	1.696534840672902500e-01	6.848730975118567654e-01	7.086370972848827776e-01	0.000000000000000000e+00
2.104208416833667217e-01	1.779421920565467108e-01	6.826870228445569566e-01	7.087136270213423295e-01	0.000000000000000000e+00
2.204408817635270523e-01	1.862033460416635255e-01	6.804004892685013850e-01	7.087901580341480212e-01	0.000000000000000000e+00
2.304609218436873552e-01	1.944357264202365154e-01	6.780138373597619506e-01	7.088666903163989286e-01	0.000000000000000000e+00
2.404809619238476859e-01	2.026381177226226904e-01	6.755274225278602440e-01	7.089432238611906856e-01	0.000000000000000000e+00
2.505010020040079888e-01	2.108093087926944942e-01	6.729416149665365943e-01	7.090197586616159287e-01	0.000000000000000000e+00
2.605210420841683194e-01	2.189480929680187593e-01	6.702567996023117702e-01	7.090962947107637415e-01	0.000000000000000000e+00
2.705410821643286501e-01	2.270532682594338936e-01	6.674733760408498862e-01	7.091728320017200993e-01	0.000000000000000000e+00
2.805611222444889807e-01	2.351236375299980974e-01	6.645917585111265069e-01	7.092493705275673133e-01	0.000000000000000000e+00
2.905811623246493114e-01	2.431580086732818280e-01	6.616123758074122785e-01	7.093259102813850303e-01	0.000000000000000000e+00
3.006012024048095865e-01	2.511551947909779203e-01	6.585356712290769687e-01	7.094024512562492335e-01	0.000000000000000000e+00
3.106212424849699172e-01	2.591140143698021925e-01	6.553621025182229110e-01	7.094789934452324642e-01	0.000000000000000000e+00
3.206412825651302478e-01	2.670332914576588612e-01	6.520921417951573984e-01	7.095555368414041553e-01	0.000000000000000000e+00
3.306613226452905785e-01	2.749118558390431510e-01	6.487262754917094698e-01	7.096320814378305197e-01	0.000000000000000000e+00
3.406813627254509091e-01	2.827485432096557005e-01	6.452650042824026322e-01	7.097086272275744401e-01	0.000000000000000000e+00
3.507014028056111843e-01	2.905421953502019261e-01	6.417088430134920696e-01	7.097851742036955791e-01	0.000000000000000000e+00
3.607214428857715149e-01	2.982916602993499477e-01	6.380583206298746646e-01	7.098617223592501579e-01	0.000000000000000000e+00
3.707414829659318456e-01	3.059957925258221523e-01	6.343139800998839339e-01	7.099382716872912891e-01	0.000000000000000000e+00
3.807615230460921762e-01	3.136534530995924719e-01	6.304763783379766506e-01	7.100148221808685323e-01	0.000000000000000000e+00
3.907815631262525069e-01	3.212635098621658969e-01	6.265460861253256963e-01	7.100913738330285607e-01	0.000000000000000000e+00
4.008016032064127820e-01	3.288248375959122449e-01	6.225236880283270269e-01	7.101679266368144949e-01	0.000000000000000000e+00
4.108216432865731127e-01	3.363363181924304279e-01	6.184097823150320750e-01	7.102444805852664578e-01	0.000000000000000000e+00
4.208416833667334433e-01	3.437968408199160164e-01	6.142049808695183577e-01	7.103210356714209084e-01	0.000000000000000000e+00
4.308617234468937740e-01	3.512053020895086752e-01	6.099099091042097243e-01	7.103975918883111973e-01	0.000000000000000000e+00
4.408817635270541047e-01	3.585606062205925482e-01	6.055252058701565687e-01	7.104741492289675664e-01	0.000000000000000000e+00
4.509018036072144353e-01	3.658616652050258322e-01	6.010515233652912181e-01	7.105507076864171490e-01	0.000000000000000000e+00
4.609218436873747105e-01	3.731073989702730076e-01	5.964895270406678218e-01	7.106272672536831925e-01	0.000000000000000000e+00
4.709418837675350411e-01	3.802967355414174633e-01	5.918398955047035059e-01	7.107038279237862799e-01	0.000000000000000000e+00
4.809619238476953718e-01	3.874286112020269846e-01	5.871033204254301197e-01	7.107803896897433305e-01	0.000000000000000000e+00
4.909819639278557024e-01	3.945019706538502313e-01	5.822805064307735590e-01	7.108569525445682658e-01	0.000000000000000000e+00
5.010020040080159776e-01	4.015157671753180058e-01	5.773721710068726587e-01	7.109335164812717878e-01	0.000000000000000000e+00
5.110220440881763082e-01	4.084689627788257726e-01	5.723790443944514195e-01	7.110100814928608237e-01	0.000000000000000000e+00
5.210420841683366389e-01	4.153605283667750059e-01	5.673018694832621112e-01	7.110866475723398583e-01	0.000000000000000000e+00
5.310621242484969695e-01	4.221894438863459387e-01	5.621414017046086897e-01	7.111632147127096015e-01	0.000000000000000000e+00
5.410821643286573002e-01	4.289546984829820664e-01	5.568984089219713995e-01	7.112397829069677657e-01	0.000000000000000000e+00
5.511022044088176308e-01	4.356552906525605895e-01	5.515736713197441077e-01	7.113163521481085105e-01	0.000000000000000000e+00
5.611222444889779615e-01	4.422902283922258704e-01	5.461679812901014675e-01	7.113929224291228870e-01	0.000000000000000000e+00
5.711422845691382921e-01	4.488585293498635331e-01	5.406821433180113434e-01	7.114694937429987265e-01	0.000000000000000000e+00
5.811623246492986228e-01	4.553592209721917250e-01	5.351169738644093732e-01	7.115460660827208628e-01	0.000000000000000000e+00
5.911823647294588424e-01	4.617913406514462249e-01	5.294733012475505429e-01	7.116226394412703549e-01	0.000000000000000000e+00
6.012024048096191731e-01	4.681539358706393039e-01	5.237519655225585380e-01	7.116992138116255973e-01	0.000000000000000000e+00
6.112224448897795037e-01	4.744460643473662476e-01	5.179538183591835265e-01	7.117757891867614317e-01	0.000000000000000000e+00
6.212424849699398344e-01	4.806667941761409990e-01	5.120797229177921350e-01	7.118523655596490363e-01	0.000000000000000000e+00
6.312625250501001650e-01	4.868152039692380528e-01	5.061305537236043817e-01	7.119289429232577016e-01	0.000000000000000000e+00
6.412825651302604957e-01	4.928903829960155081e-01	5.001071965391929997e-01	7.120055212705519443e-01	0.000000000000000000e+00
6.513026052104208263e-01	4.988914313207048479e-01	4.940105482352697419e-01	7.120821005944938387e-01	0.000000000000000000e+00
6.613226452905811570e-01	5.048174599386384687e-01	4.878415166597700470e-01	7.121586808880421282e-01	0.000000000000000000e+00
6.713426853707414876e-01	5.106675909108998601e-01	4.816010205052600468e-01	7.122352621441525589e-01	0.000000000000000000e+00
6.813627254509018183e-01	5.164409574973718442e-01	4.752899891746814043e-01	7.123118443557772128e-01	0.000000000000000000e+00
6.913827655310621489e-01	5.221367042881640552e-01	4.689093626454552965e-01	7.123884275158651747e-01	0.000000000000000000e+00
7.014028056112223686e-01	5.277539873333999543e-01	4.624600913319649731e-01	7.124650116173624204e-01	0.000000000000000000e+00
7.114228456913826992e-01	5.332919742713401190e-01	4.559431359464343747e-01	7.125415966532112622e-01	0.000000000000000000e+00
7.214428857715430299e-01	5.387498444548266541e-01	4.493594673582262389e-01	7.126181826163514588e-01	0.000000000000000000e+00
7.314629258517033605e-01	5.441267890760238535e-01	4.427100664515762896e-01	7.126947694997187721e-01	0.000000000000000000e+00
7.414829659318636912e-01	5.494220112894402375e-01	4.359959239817875476e-01	7.127713572962464106e-01	0.000000000000000000e+00
7.515030060120240218e-01	5.546347263332100930e-01	4.292180404299024143e-01	7.128479459988643629e-01	0.000000000000000000e+00
7.615230460921843525e-01	5.597641616486159766e-01	4.223774258558751216e-01	7.129245356004988432e-01	0.000000000000000000e+00
7.715430861723446831e-01	5.648095569978344166e-01	4.154750997502658083e-01	7.130011260940732898e-01	0.000000000000000000e+00
7.815631262525050138e-01	5.697701645798863845e-01	4.085120908844771526e-01	7.130777174725080325e-01	0.000000000000000000e+00
7.915831663326653445e-01	5.746452491447722188e-01	4.014894371595546518e-01	7.131543097287197375e-01	0.000000000000000000e+00
8.016032064128255641e-01	5.794340881057766790e-01	3.944081854535740339e-01	7.132309028556221842e-01	0.000000000000000000e+00
8.116232464929858947e-01	5.841359716499234800e-01	3.872693914676365590e-01	7.133074968461261545e-01	0.000000000000000000e+00
8.216432865731462254e-01	5.887502028465627646e-01	3.800741195704946951e-01	7.133840916931387666e-01	0.000000000000000000e+00
8.316633266533065560e-01	5.932760977540757485e-01	3.728234426418315373e-01	7.134606873895641410e-01	0.000000000000000000e+00
8.416833667334668867e-01	5.977129855246779977e-01	3.655184419142159524e-01	7.135372839283032897e-01	0.000000000000000000e+00
8.517034068136272174e-01	6.020602085073051279e-01	3.581602068137564876e-01	7.136138813022538940e-01	0.000000000000000000e+00
8.617234468937875480e-01	6.063171223485660510e-01	3.507498347994777443e-01	7.136904795043106375e-01	0.000000000000000000e+00
8.717434869739478787e-01	6.104830960917454474e-01	3.432884312014419792e-01	7.137670785273648733e-01	0.000000000000000000e+00
8.817635270541082093e-01	6.145575122738416995e-01	3.357771090576399109e-01	7.138436783643048456e-01	0.000000000000000000e+00
8.917835671342685400e-01	6.185397670206234100e-01	3.282169889496743820e-01	7.139202790080151351e-01	0.000000000000000000e+00
9.018036072144288706e-01	6.224292701396922922e-01	3.206091988372614110e-01	7.139968804513778800e-01	0.000000000000000000e+00
9.118236472945890903e-01	6.262254452115317838e-01	3.129548738915713946e-01	7.140734826872717766e-01	0.000000000000000000e+00
9.218436873747494209e-01	6.299277296785334990e-01	3.052551563274362723e-01	7.141500857085720799e-01	0.000000000000000000e+00
9.318637274549097516e-01	6.335355749319827590e-01	2.975111952344466348e-01	7.142266895081511580e-01	0.000000000000000000e+00
9.418837675350700822e-01	6.370484463969909861e-01	2.897241464069635897e-01	7.143032940788781593e-01	0.000000000000000000e+00
9.519038076152304129e-01	6.404658236153609741e-01	2.818951721730701410e-01	7.143798994136189018e-01	0.000000000000000000e+00
9.619238476953907435e-01	6.437872003263714893e-01	2.740254412224871761e-01	7.144565055052363167e-01	0.000000000000000000e+00
9.719438877755510742e-01	6.470120845454679914e-01	2.661161284334795374e-01	7.145331123465897827e-01	0.000000000000000000e+00
9.819639278557114048e-01	6.501399986408479270e-01	2.581684146987771600e-01	7.146097199305356806e-01	0.000000000000000000e+00
9.919839679358717355e-01	6.531704794079264964e-01	2.501834867505379201e-01	7.146863282499272829e-01	0.000000000000000000e+00
1.002004008016031955e+00	6.561030781416716806e-01	2.421625369843762587e-01	7.147629372976148643e-01	0.000000000000000000e+00
