h	heun	euler	rk4	
2.000000000000000000e+00	3.316336386214802587e+02	2.043142965217326079e+01	2.337184466287944815e+04
4.000000000000000000e+00	8.544746598118229031e+01	2.570165458416224880e+01	9.717408800069090091e+01
8.000000000000000000e+00	1.561981447716888738e+01	1.058493668401447430e+01	7.515962709932929364e+00
1.600000000000000000e+01	8.008934188651007702e+00	7.934106713133305178e+00	5.608219147064032128e+00
3.200000000000000000e+01	3.702781380731066108e+00	7.603452631566644193e+00	8.690690634208002585e-01
6.400000000000000000e+01	9.357493698356968981e-01	7.441655564079248109e+00	1.358150610308129502e-01
1.280000000000000000e+02	9.094939945115226854e-01	7.022230897411071204e+00	5.059557661908865508e-03
2.560000000000000000e+02	8.317927014285596554e-01	6.053764896563452069e+00	1.623771363251049393e-04
5.120000000000000000e+02	6.827730733227702631e-01	4.133072018810808324e+00	5.108353527289655366e-06
1.024000000000000000e+03	4.817628523840529198e-01	1.795715787400764984e+00	1.599579722629826996e-07
2.048000000000000000e+03	2.960217193310997197e-01	6.819204716368930663e-01	5.002099309858686895e-09
