t	x0	y0	z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01
1.000667111407605066e-02	-3.154491721678117592e-03	1.097570901292849177e-01	9.939534346981905300e-01
2.001334222815210132e-02	-6.270593885144182429e-03	1.089965839695720695e-01	9.940223459939377948e-01
3.002001334222815371e-02	-9.346074441987447731e-03	1.081516237238173972e-01	9.940904773602988742e-01
4.002668445630420263e-02	-1.237876102157141507e-02	1.072238798502327811e-01	9.941578375013867541e-01
5.003335557038025155e-02	-1.536654213678060980e-02	1.062150750980498243e-01	9.942244350269581199e-01
6.004002668445630742e-02	-1.830736832379516177e-02	1.051269824458566787e-01	9.942902784533728111e-01
7.004669779853235634e-02	-2.119925321563692969e-02	1.039614230193970784e-01	9.943553762045447275e-01
8.005336891260840526e-02	-2.404027454929170277e-02	1.027202639908697535e-01	9.944197366128856297e-01
9.006004002668445418e-02	-2.682857510627221012e-02	1.014054164617590598e-01	9.944833679202405019e-01
1.000667111407605031e-01	-2.956236358654635438e-02	1.000188333312195116e-01	9.945462782788132561e-01
1.100733822548365520e-01	-3.223991541581421733e-02	9.856250715202707902e-02	9.946084757520861075e-01
1.200800533689126148e-01	-3.485957348617568785e-02	9.703846797609762265e-02	9.946699683157294025e-01
1.300867244829886638e-01	-3.741974883028838239e-02	9.544878119156022245e-02	9.947307638585044520e-01
1.400933955970647127e-01	-3.991892122917236468e-02	9.379554535335751786e-02	9.947908701831583711e-01
1.501000667111407616e-01	-4.235563975387439395e-02	9.208089000932898061e-02	9.948502950073091489e-01
1.601067378252168105e-01	-4.472852324125983769e-02	9.030697352371504227e-02	9.949090459643249451e-01
1.701134089392928594e-01	-4.703626070425472039e-02	8.847598090000012572e-02	9.949671306041945051e-01
1.801200800533689084e-01	-4.927761167691410704e-02	8.659012160499178490e-02	9.950245563943898031e-01
1.901267511674449573e-01	-5.145140649474544414e-02	8.465162739601070352e-02	9.950813307207204694e-01
2.001334222815210062e-01	-5.355654651076739020e-02	8.266275015304244689e-02	9.951374608881808914e-01
2.101400933955970551e-01	-5.559200424783509314e-02	8.062575971767668714e-02	9.951929541217904296e-01
2.201467645096731041e-01	-5.755682348781256119e-02	7.854294174063303213e-02	9.952478175674238647e-01
2.301534356237491530e-01	-5.945011929822127672e-02	7.641659553964495755e-02	9.953020582926358495e-01
2.401601067378252297e-01	-6.127107799704167856e-02	7.424903196944421246e-02	9.953556832874774774e-01
2.501667778519012786e-01	-6.301895705639025402e-02	7.204257130555798139e-02	9.954086994653043030e-01
2.601734489659773275e-01	-6.469308494584040392e-02	6.979954114359968043e-02	9.954611136635792557e-01
2.701801200800533764e-01	-6.629286091619869536e-02	6.752227431570152760e-02	9.955129326446645610e-01
2.801867911941294254e-01	-6.781775472459161680e-02	6.521310682570422013e-02	9.955641630966106659e-01
2.901934623082054743e-01	-6.926730630175818859e-02	6.287437580468341336e-02	9.956148116339319509e-01
3.002001334222815232e-01	-7.064112536248580432e-02	6.050841748835833478e-02	9.956648847983824435e-01
3.102068045363575721e-01	-7.193889096016350959e-02	5.811756521789015334e-02	9.957143890597173197e-01
3.202134756504336210e-01	-7.316035098646651857e-02	5.570414746554142732e-02	9.957633308164517416e-01
3.302201467645096700e-01	-7.430532161722074036e-02	5.327048588662881834e-02	9.958117163966108132e-01
3.402268178785857189e-01	-7.537368670553182270e-02	5.081889339916269288e-02	9.958595520584722083e-01
3.502334889926617678e-01	-7.636539712329658280e-02	4.835167229252728543e-02	9.959068439913028037e-01
3.602401601067378167e-01	-7.728047005224698840e-02	4.587111236651424118e-02	9.959535983160873185e-01
3.702468312208138657e-01	-7.811898822570803591e-02	4.337948910198159008e-02	9.959998210862504031e-01
3.802535023348899146e-01	-7.888109912227986298e-02	4.087906186436779388e-02	9.960455182883712899e-01
3.902601734489659635e-01	-7.956701411268335411e-02	3.837207214124842281e-02	9.960906958428932256e-01
4.002668445630420124e-01	-8.017700756103435245e-02	3.586074181507958869e-02	9.961353596048230230e-01
4.102735156771180614e-01	-8.071141588183772253e-02	3.334727147222919796e-02	9.961795153644279477e-01
4.202801867911941103e-01	-8.117063655401567102e-02	3.083383874935241575e-02	9.962231688479218361e-01
4.302868579052701592e-01	-8.155512709330800525e-02	2.832259671812401014e-02	9.962663257181469945e-01
4.402935290193462081e-01	-8.186540398440234068e-02	2.581567230929486187e-02	9.963089915752492143e-01
4.503002001334222570e-01	-8.210204157417232140e-02	2.331516477699504750e-02	9.963511719573447944e-01
4.603068712474983060e-01	-8.226567092742015364e-02	2.082314420416051318e-02	9.963928723411836774e-01
4.703135423615743549e-01	-8.235697864653611366e-02	1.834165004991443818e-02	9.964340981428027044e-01
4.803202134756504593e-01	-8.237670565650376253e-02	1.587268973968881947e-02	9.964748547181756511e-01
4.903268845897265082e-01	-8.232564595669267238e-02	1.341823729882546216e-02	9.965151473638550472e-01
5.003335557038025572e-01	-8.220464534089379216e-02	1.098023203034964243e-02	9.965549813176077798e-01
5.103402268178786061e-01	-8.201460008706315530e-02	8.560577237563336828e-03	9.965943617590453663e-01
5.203468979319546550e-01	-8.175645561824954055e-02	6.161138992058679160e-03	9.966332938102467898e-01
5.303535690460307039e-01	-8.143120513619002410e-02	3.783744947706050698e-03	9.966717825363766714e-01
5.403602401601067529e-01	-8.103988822906418865e-02	1.430183201124979103e-03	9.967098329462954487e-01
5.503669112741828018e-01	-8.058358945490333436e-02	-8.977988009001102278e-04	9.967474499931648912e-01
5.603735823882588507e-01	-8.006343690215531050e-02	-3.198495306643249405e-03	9.967846385750473992e-01
5.703802535023348996e-01	-7.948060072890815453e-02	-5.470243256929201506e-03	9.968214035354989733e-01
