t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01	6.761980746625912943e-18	1.104315260748465199e-01	9.938837346736189016e-01
1.000667111407605066e-02	3.299419252806183589e-03	1.104309249851707919e-01	9.938783248665371550e-01	1.658890155560203061e-03	1.104190655397485760e-01	9.938837346736189016e-01
2.001334222815210132e-02	6.598790607938133206e-03	1.103317452920167668e-01	9.938729103579240221e-01	3.317405949563664944e-03	1.103816867464223195e-01	9.938837346736189016e-01
3.002001334222815371e-02	9.895168761906301264e-03	1.101339896790335809e-01	9.938674911438406534e-01	4.975173104935787759e-03	1.103193981301358872e-01	9.938837346736189016e-01
4.002668445630420263e-02	1.318560853952187133e-02	1.098377488295649990e-01	9.938620672203440920e-01	6.631817513547164783e-03	1.102322137475543751e-01	9.938837346736189016e-01
5.003335557038025155e-02	1.646716752318062513e-02	1.094432014210593024e-01	9.938566385834896044e-01	8.286965320638502164e-03	1.101201532735676947e-01	9.938837346736189016e-01
6.004002668445630742e-02	1.973690868191772113e-02	1.089506140409190749e-01	9.938512052293282384e-01	9.940243009188472548e-03	1.099832419968505282e-01	9.938837346736189016e-01
7.004669779853235634e-02	2.299190299788617109e-02	1.083603410238005021e-01	9.938457671539087102e-01	1.159127748420512617e-02	1.098215108141554625e-01	9.938837346736189016e-01
8.005336891260840526e-02	2.622923208791196059e-02	1.076728242104406513e-01	9.938403243532765163e-01	1.323969615692227944e-02	1.096349962233404973e-01	9.938837346736189016e-01
9.006004002668445418e-02	2.944599081778130970e-02	1.068885926281624293e-01	9.938348768234740449e-01	1.488512702888156528e-02	1.094237403151325644e-01	9.938837346736189016e-01
1.000667111407605031e-01	3.263928990692007565e-02	1.060082620932763231e-01	9.938294245605404642e-01	1.652719877588128619e-02	1.091877907636289446e-01	9.938837346736189016e-01
1.100733822548365520e-01	3.580625852113189511e-02	1.050325347356682731e-01	9.938239675605126111e-01	1.816554083177308529e-02	1.089272008155386801e-01	9.938837346736189016e-01
1.200800533689126148e-01	3.894404685107034914e-02	1.039621984459321996e-01	9.938185058194229926e-01	1.979978347208759953e-02	1.086420292781663383e-01	9.938837346736189016e-01
1.300867244829886638e-01	4.204982867413144254e-02	1.027981262454762401e-01	9.938130393333018953e-01	2.142955789747011397e-02	1.083323405061410311e-01	9.938837346736189016e-01
1.400933955970647127e-01	4.512080389746522119e-02	1.015412755800995659e-01	9.938075680981770521e-01	2.305449631690745932e-02	1.079982043868934344e-01	9.938837346736189016e-01
1.501000667111407616e-01	4.815420107982047032e-02	1.001926875376060455e-01	9.938020921100719773e-01	2.467423203072745957e-02	1.076396963248843902e-01	9.938837346736189016e-01
