t	x0	y0	z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01
1.000667111407605066e-02	3.296075624416159276e-03	1.105465643755313421e-01	9.938654803293275330e-01
2.001334222815210132e-02	6.598977757044361889e-03	1.105633411468494309e-01	9.938471718966692681e-01
3.002001334222815371e-02	9.905780312122362125e-03	1.104815526922617863e-01	9.938288092177218758e-01
4.002668445630420263e-02	1.321354519813446732e-02	1.103009823597751182e-01	9.938103921341160385e-01
5.003335557038025155e-02	1.651932490470975345e-02	1.100215009867866744e-01	9.937919204870339085e-01
6.004002668445630742e-02	1.982016510534132664e-02	1.096430672681167340e-01	9.937733941172082197e-01
7.004669779853235634e-02	2.311310727364766435e-02	1.091657280466818425e-01	9.937548128649212886e-01
8.005336891260840526e-02	2.639519131087869619e-02	1.085896185263291736e-01	9.937361765700031269e-01
9.006004002668445418e-02	2.966345818235262971e-02	1.079149624064209279e-01	9.937174850718309971e-01
1.000667111407605031e-01	3.291495256049505741e-02	1.071420719378260999e-01	9.936987382093278587e-01
1.100733822548365520e-01	3.614672547213950565e-02	1.062713479000464145e-01	9.936799358209610356e-01
1.200800533689126148e-01	3.935583694773801822e-02	1.053032794992726784e-01	9.936610777447414389e-01
1.300867244829886638e-01	4.253935867012218625e-02	1.042384441872380718e-01	9.936421638182222349e-01
1.400933955970647127e-01	4.569437662044862486e-02	1.030775074008049713e-01	9.936231938784971796e-01
1.501000667111407616e-01	4.881799371895900047e-02	1.018212222222930063e-01	9.936041677622000634e-01
1.601067378252168105e-01	5.190733245818234670e-02	1.004704289606262735e-01	9.935850853055030463e-01
1.701134089392928594e-01	5.495953752620767047e-02	9.902605465344896385e-02	9.935659463441153250e-01
1.801200800533689084e-01	5.797177841765716044e-02	9.748911249042957472e-02	9.935467507132829112e-01
1.901267511674449573e-01	6.094125202999414737e-02	9.586070115804481984e-02	9.935274982477863004e-01
2.001334222815210062e-01	6.386518524280701548e-02	9.414200410620518489e-02	9.935081887819392499e-01
2.101400933955970551e-01	6.674083747771837605e-02	9.233428873715537888e-02	9.934888221495883354e-01
2.201467645096731041e-01	6.956550323657977042e-02	9.043890551715294546e-02	9.934693981841115074e-01
2.301534356237491530e-01	7.233651461562462526e-02	8.845728701149888074e-02	9.934499167184166479e-01
2.401601067378252297e-01	7.505124379326758022e-02	8.639094684356446452e-02	9.934303775849397944e-01
