t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01	6.761980746625912943e-18	1.104315260748465199e-01	9.938837346736189016e-01
1.000667111407605066e-02	2.678571077380348907e-03	1.120515310774030660e-01	9.936987871785863957e-01	3.646042940618968295e-04	1.104309241785481899e-01	9.938837346736189016e-01
2.001334222815210132e-02	5.435363719533447928e-03	1.136298167545464616e-01	9.935082896310251099e-01	7.292046136432358411e-04	1.104291184962143402e-01	9.938837346736189016e-01
3.002001334222815371e-02	8.270466277098710919e-03	1.151638611746629848e-01	9.933120780836717234e-01	1.093796984306871214e-03	1.104261090475283646e-01	9.938837346736189016e-01
4.002668445630420263e-02	1.118390457367885414e-02	1.166511043484706883e-01	9.931099839054933209e-01	1.458377431702202265e-03	1.104218958652957022e-01	9.938837346736189016e-01
5.003335557038025155e-02	1.417563998397133700e-02	1.180889493151519448e-01	9.929018336576322934e-01	1.822941981608698853e-03	1.104164789954434067e-01	9.938837346736189016e-01
6.004002668445630742e-02	1.724556751029967389e-02	1.194747632987292613e-01	9.926874489666727142e-01	2.187486659979028664e-03	1.104098584970197305e-01	9.938837346736189016e-01
7.004669779853235634e-02	2.039351385945617837e-02	1.208058789360649532e-01	9.924666463952070972e-01	2.552007492982573834e-03	1.104020344421934446e-01	9.938837346736189016e-01
8.005336891260840526e-02	2.361923552184836891e-02	1.220795955778452152e-01	9.922392373096891038e-01	2.916500507048575691e-03	1.103930069162530336e-01	9.938837346736189016e-01
9.006004002668445418e-02	2.692241685502355306e-02	1.232931806638861705e-01	9.920050277455586540e-01	3.280961728909524526e-03	1.103827760176058354e-01	9.938837346736189016e-01
1.000667111407605031e-01	3.030266817373024335e-02	1.244438711740740167e-01	9.917638182696337790e-01	3.645387185644545676e-03	1.103713418577768474e-01	9.938837346736189016e-01
1.100733822548365520e-01	3.375952384876053369e-02	1.255288751562218530e-01	9.915154038397581138e-01	4.009772904722532991e-03	1.103587045614076584e-01	9.938837346736189016e-01
1.200800533689126148e-01	3.729244041690522177e-02	1.265453733320950624e-01	9.912595736617086928e-01	4.374114914045654397e-03	1.103448642662549634e-01	9.938837346736189016e-01
1.300867244829886638e-01	4.090079470444210608e-02	1.274905207828214426e-01	9.909961110433633813e-01	4.738409241992472785e-03	1.103298211231891063e-01	9.938837346736189016e-01
1.400933955970647127e-01	4.458388196666888958e-02	1.283614487148641015e-01	9.907247932461383799e-01	5.102651917461316702e-03	1.103135752961925120e-01	9.938837346736189016e-01
1.501000667111407616e-01	4.834091404608369114e-02	1.291552663076926954e-01	9.904453913337061266e-01	5.466838969913643230e-03	1.102961269623577434e-01	9.938837346736189016e-01
1.601067378252168105e-01	5.217101755191046880e-02	1.298690626442439155e-01	9.901576700180148016e-01	5.830966429417146733e-03	1.102774763118857249e-01	9.938837346736189016e-01
1.701134089392928594e-01	5.607323206376129549e-02	1.304999087252111944e-01	9.898613875026317510e-01	6.195030326689230163e-03	1.102576235480835498e-01	9.938837346736189016e-01
1.801200800533689084e-01	6.004650836232421074e-02	1.310448595681504569e-01	9.895562953234430248e-01	6.559026693140079106e-03	1.102365688873623434e-01	9.938837346736189016e-01
1.901267511674449573e-01	6.408970669006325283e-02	1.315009563923307534e-01	9.892421381867454455e-01	6.922951560916114876e-03	1.102143125592348616e-01	9.938837346736189016e-01
2.001334222815210062e-01	6.820159504501625836e-02	1.318652288901957514e-01	9.889186538047768371e-01	7.286800962943080703e-03	1.101908548063130350e-01	9.938837346736189016e-01
2.101400933955970551e-01	7.238084751087649205e-02	1.321346975862344453e-01	9.885855727287353734e-01	7.650570932969357786e-03	1.101661958843052347e-01	9.938837346736189016e-01
2.201467645096731041e-01	7.662604262664564347e-02	1.323063762839880031e-01	9.882426181793513287e-01	8.014257505609273524e-03	1.101403360620135941e-01	9.938837346736189016e-01
2.301534356237491530e-01	8.093566179924772952e-02	1.323772746018412327e-01	9.878895058750785108e-01	8.377856716386153021e-03	1.101132756213310110e-01	9.938837346736189016e-01
2.401601067378252297e-01	8.530808776259696247e-02	1.323444005981650184e-01	9.875259438579837568e-01	8.741364601775736612e-03	1.100850148572380810e-01	9.938837346736189016e-01
2.501667778519012786e-01	8.974160308671663699e-02	1.322047634862874577e-01	9.871516323174271967e-01	9.104777199249212277e-03	1.100555540777998914e-01	9.938837346736189016e-01
2.601734489659773275e-01	9.423438874060995063e-02	1.319553764396769469e-01	9.867662634116280973e-01	9.468090547316480518e-03	1.100248936041627046e-01	9.938837346736189016e-01
2.701801200800533764e-01	9.878452271268924056e-02	1.315932594876199624e-01	9.863695210872293062e-01	9.831300685569416623e-03	1.099930337705503497e-01	9.938837346736189016e-01
2.801867911941294254e-01	1.033899786926745085e-01	1.311154425015701730e-01	9.859610808969825335e-01	1.019440365472486232e-02	1.099599749242606839e-01	9.938837346736189016e-01
2.901934623082054743e-01	1.080486248189774651e-01	1.305189682722310562e-01	9.855406098156891392e-01	1.055739549666799559e-02	1.099257174256617758e-01	9.938837346736189016e-01
3.002001334222815232e-01	1.127582224956921314e-01	1.298008956773150369e-01	9.851077660545463077e-01	1.092027225449526684e-02	1.098902616481879507e-01	9.938837346736189016e-01
3.102068045363575721e-01	1.175164252834167006e-01	1.289583029397937397e-01	9.846621988740584808e-01	1.128302997255773571e-02	1.098536079783357378e-01	9.938837346736189016e-01
3.202134756504336210e-01	1.223207778682356139e-01	1.279882909763194743e-01	9.842035483956917963e-01	1.164566469650401247e-02	1.098157568156596792e-01	9.938837346736189016e-01
3.302201467645096700e-01	1.271687151132930849e-01	1.268879868353562090e-01	9.837314454124684859e-01	1.200817247332345433e-02	1.097767085727679448e-01	9.938837346736189016e-01
3.402268178785857189e-01	1.320575611974899033e-01	1.256545472244063599e-01	9.832455111987039587e-01	1.237054935138930459e-02	1.097364636753178219e-01	9.938837346736189016e-01
3.502334889926617678e-01	1.369845288459353438e-01	1.242851621255621902e-01	9.827453573191174963e-01	1.273279138050161831e-02	1.096950225620111213e-01	9.938837346736189016e-01
3.602401601067378167e-01	1.419467186568832695e-01	1.227770584984433505e-01	9.822305854375609213e-01	1.309489461193051076e-02	1.096523856845893763e-01	9.938837346736189016e-01
3.702468312208138657e-01	1.469411185299759059e-01	1.211275040694049787e-01	9.817007871256272500e-01	1.345685509845899984e-02	1.096085535078288736e-01	9.938837346736189016e-01
3.802535023348899146e-01	1.519646032007112846e-01	1.193338112057171080e-01	9.811555436714246570e-01	1.381866889442624584e-02	1.095635265095356581e-01	9.938837346736189016e-01
3.902601734489659635e-01	1.570139338861386846e-01	1.173933408732207723e-01	9.805944258888191767e-01	1.418033205577036784e-02	1.095173051805402864e-01	9.938837346736189016e-01
4.002668445630420124e-01	1.620857580468711423e-01	1.153035066757630567e-01	9.800169939274744335e-01	1.454184064007153429e-02	1.094698900246924983e-01	9.938837346736189016e-01
4.102735156771180614e-01	1.671766092705842255e-01	1.130617789744985807e-01	9.794227970840335695e-01	1.490319070659500145e-02	1.094212815588556653e-01	9.938837346736189016e-01
4.202801867911941103e-01	1.722829072822465446e-01	1.106656890849226776e-01	9.788113736148227328e-01	1.526437831633388822e-02	1.093714803129012397e-01	9.938837346736189016e-01
4.302868579052701592e-01	1.774009580863960545e-01	1.081128335492657216e-01	9.781822505504675913e-01	1.562539953205233437e-02	1.093204868297028981e-01	9.938837346736189016e-01
4.402935290193462081e-01	1.825269542468408723e-01	1.054008784816351657e-01	9.775349435128503073e-01	1.598625041832822669e-02	1.092683016651307126e-01	9.938837346736189016e-01
4.503002001334222570e-01	1.876569753092196535e-01	1.025275639830356272e-01	9.768689565348566139e-01	1.634692704159618204e-02	1.092149253880450172e-01	9.938837346736189016e-01
4.603068712474983060e-01	1.927869883719058597e-01	9.949070862313197372e-02	9.761837818833900560e-01	1.670742547019050256e-02	1.091603585802902038e-01	9.938837346736189016e-01
4.703135423615743549e-01	1.979128488107806672e-01	9.628821398534298526e-02	9.754788998861606553e-01	1.706774177438784984e-02	1.091046018366884640e-01	9.938837346736189016e-01
4.803202134756504593e-01	2.030303011634320143e-01	9.291806927156590068e-02	9.747537787627861272e-01	1.742787202645028691e-02	1.090476557650331968e-01	9.938837346736189016e-01
4.903268845897265082e-01	2.081349801783571596e-01	8.937835596253213000e-02	9.740078744607715278e-01	1.778781230066793506e-02	1.089895209860824860e-01	9.938837346736189016e-01
5.003335557038025572e-01	2.132224120347581131e-01	8.566725252948458047e-02	9.732406304969647426e-01	1.814755867340180767e-02	1.089301981335522307e-01	9.938837346736189016e-01
5.103402268178786061e-01	2.182880157385179154e-01	8.178303919254589771e-02	9.724514778051248642e-01	1.850710722312668907e-02	1.088696878541093177e-01	9.938837346736189016e-01
5.203468979319546550e-01	2.233271046999305010e-01	7.772410272081317628e-02	9.716398345902614864e-01	1.886645403047368733e-02	1.088079908073645574e-01	9.938837346736189016e-01
5.303535690460307039e-01	2.283348884987307092e-01	7.348894126887227374e-02	9.708051061904509060e-01	1.922559517827316170e-02	1.087451076658654397e-01	9.938837346736189016e-01
5.403602401601067529e-01	2.333064748419259038e-01	6.907616924406917436e-02	9.699466849468575402e-01	1.958452675159723724e-02	1.086810391150888899e-01	9.938837346736189016e-01
5.503669112741828018e-01	2.382368717198738717e-01	6.448452219851150136e-02	9.690639500827374908e-01	1.994324483780266291e-02	1.086157858534336773e-01	9.938837346736189016e-01
5.603735823882588507e-01	2.431209897659724894e-01	5.971286173939675118e-02	9.681562675922237293e-01	2.030174552657326367e-02	1.085493485922129769e-01	9.938837346736189016e-01
5.703802535023348996e-01	2.479536448252350755e-01	5.476018045087887448e-02	9.672229901397445540e-01	2.066002490996278473e-02	1.084817280556464175e-01	9.938837346736189016e-01
5.803869246164109486e-01	2.527295607369069996e-01	4.962560682028888115e-02	9.662634569709485088e-01	2.101807908243729164e-02	1.084129249808523376e-01	9.938837346736189016e-01
5.903935957304869975e-01	2.574433723361470583e-01	4.430841016112131020e-02	9.652769938360624691e-01	2.137590414091783755e-02	1.083429401178396950e-01	9.938837346736189016e-01
6.004002668445630464e-01	2.620896286796368102e-01	3.880800552478502058e-02	9.642629129266344634e-01	2.173349618482307150e-02	1.082717742294998509e-01	9.938837346736189016e-01
6.104069379586390953e-01	2.666627964997995148e-01	3.312395859269643555e-02	9.632205128266609906e-01	2.209085131611159686e-02	1.081994280915983264e-01	9.938837346736189016e-01
6.204136090727151442e-01	2.711572638921055378e-01	2.725599053986573275e-02	9.621490784791294493e-01	2.244796563932464906e-02	1.081259024927662959e-01	9.938837346736189016e-01
6.304202801867911932e-01	2.755673442397052475e-01	2.120398286069281879e-02	9.610478811690494894e-01	2.280483526162839156e-02	1.080511982344920380e-01	9.938837346736189016e-01
6.404269513008672421e-01	2.798872803793715502e-01	1.496798214725147957e-02	9.599161785240827305e-01	2.316145629285643048e-02	1.079753161311121507e-01	9.938837346736189016e-01
6.504336224149432910e-01	2.841112490124428902e-01	8.548204809897716819e-03	9.587532145339162648e-01	2.351782484555227370e-02	1.078982570098026700e-01	9.938837346736189016e-01
6.604402935290193399e-01	2.882333653641366844e-01	1.945041729593610137e-03	9.575582195895633308e-01	2.387393703501157483e-02	1.078200217105701048e-01	9.938837346736189016e-01
6.704469646430953889e-01	2.922476880942505573e-01	-4.840937169107716563e-03	9.563304105438089620e-01	2.422978897932463391e-02	1.077406110862422495e-01	9.938837346736189016e-01
6.804536357571714378e-01	2.961482244618827142e-01	-1.180897843591558263e-02	9.550689907940549395e-01	2.458537679941855819e-02	1.076600260024588585e-01	9.938837346736189016e-01
6.904603068712474867e-01	2.999289357463790218e-01	-1.895814071543589982e-02	9.537731503888428053e-01	2.494069661909962751e-02	1.075782673376623061e-01	9.938837346736189016e-01
7.004669779853235356e-01	3.035837429262622233e-01	-2.628729048296662291e-02	9.524420661593780979e-01	2.529574456509561808e-02	1.074953359830878585e-01	9.938837346736189016e-01
7.104736490993995845e-01	3.071065326173977317e-01	-3.379509790826709659e-02	9.510749018773916319e-01	2.565051676709784179e-02	1.074112328427541119e-01	9.938837346736189016e-01
7.204803202134756335e-01	3.104911632711221947e-01	-4.148003286053712768e-02	9.496708084407113892e-01	2.600500935780354975e-02	1.073259588334530418e-01	9.938837346736189016e-01
7.304869913275516824e-01	3.137314716324871022e-01	-4.934036106825382545e-02	9.482289240879377967e-01	2.635921847295787449e-02	1.072395148847400531e-01	9.938837346736189016e-01
7.404936624416277313e-01	3.168212794581545810e-01	-5.737414044791262768e-02	9.467483746436332614e-01	2.671314025139617104e-02	1.071519019389238214e-01	9.938837346736189016e-01
7.505003335557037802e-01	3.197544004928291606e-01	-6.557921761610041589e-02	9.452282737954528224e-01	2.706677083508587933e-02	1.070631209510560233e-01	9.938837346736189016e-01
7.605070046697798292e-01	3.225246477024145686e-01	-7.395322459969153051e-02	9.436677234046637608e-01	2.742010636916880975e-02	1.069731728889209560e-01	9.938837346736189016e-01
7.705136757838558781e-01	3.251258407613393242e-01	-8.249357575929616715e-02	9.420658138514939051e-01	2.777314300200297431e-02	1.068820587330249761e-01	9.938837346736189016e-01
7.805203468979319270e-01	3.275518137907185712e-01	-9.119746494140458515e-02	9.404216244167674654e-01	2.812587688520464674e-02	1.067897794765857583e-01	9.938837346736189016e-01
7.905270180120079759e-01	3.297964233431887604e-01	-1.000618628749541522e-01	9.387342237012743507e-01	2.847830417369038788e-02	1.066963361255215403e-01	9.938837346736189016e-01
8.005336891260840249e-01	3.318535566293843164e-01	-1.090835148282963268e-01	9.370026700843135936e-01	2.883042102571880053e-02	1.066017296984401591e-01	9.938837346736189016e-01
8.105403602401600738e-01	3.337171399801137639e-01	-1.182589385427544743e-01	9.352260122228391870e-01	2.918222360293257905e-02	1.065059612266278377e-01	9.938837346736189016e-01
8.205470313542361227e-01	3.353811475373366657e-01	-1.275844224591347609e-01	9.334032895926113182e-01	2.953370807040019835e-02	1.064090317540380831e-01	9.938837346736189016e-01
8.305537024683121716e-01	3.368396101660468545e-01	-1.370560242536789097e-01	9.315335330727287921e-01	2.988487059665779003e-02	1.063109423372802509e-01	9.938837346736189016e-01
8.405603735823882205e-01	3.380866245781316004e-01	-1.466695697000247600e-01	9.296157655748825688e-01	3.023570735375097004e-02	1.062116940456079711e-01	9.938837346736189016e-01
8.505670446964642695e-01	3.391163626582006096e-01	-1.564206518737630558e-01	9.276490027186246046e-01	3.058621451727640966e-02	1.061112879609076021e-01	9.938837346736189016e-01
8.605737158105403184e-01	3.399230809802654685e-01	-1.663046307161425430e-01	9.256322535538892282e-01	3.093638826642370818e-02	1.060097251776863508e-01	9.938837346736189016e-01
8.705803869246163673e-01	3.405011305030055113e-01	-1.763166329733768245e-01	9.235645213319462199e-01	3.128622478401688056e-02	1.059070068030603662e-01	9.938837346736189016e-01
8.805870580386924162e-01	3.408449664301756998e-01	-1.864515525278392094e-01	9.214448043258862686e-01	3.163572025655603248e-02	1.058031339567426787e-01	9.938837346736189016e-01
8.905937291527684652e-01	3.409491582215058991e-01	-1.967040511371927203e-01	9.192720967016584366e-01	3.198487087425899711e-02	1.056981077710310024e-01	9.938837346736189016e-01
9.006004002668445141e-01	3.408083997382082564e-01	-2.070685595971857029e-01	9.170453894405818929e-01	3.233367283110279156e-02	1.055919293907953554e-01	9.938837346736189016e-01
9.106070713809205630e-01	3.404175195059575554e-01	-2.175392793434466343e-01	9.147636713141514830e-01	3.268212232486505942e-02	1.054845999734656259e-01	9.938837346736189016e-01
