t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01	6.761980746625912943e-18	1.104315260748465199e-01	9.938837346736189016e-01
1.000667111407605066e-02	1.657932860129531167e-03	1.103829275448291874e-01	9.938877504855687661e-01	1.658890155560203061e-03	1.104190655397485760e-01	9.938837346736189016e-01
2.001334222815210132e-02	3.314410921546534234e-03	1.103094588704083279e-01	9.938917637066726485e-01	3.317405949563664944e-03	1.103816867464223195e-01	9.938837346736189016e-01
3.002001334222815371e-02	4.969061418132620853e-03	1.102111527052112849e-01	9.938957743385428145e-01	4.975173104935787759e-03	1.103193981301358872e-01	9.938837346736189016e-01
4.002668445630420263e-02	6.621512235100311151e-03	1.100880472856372722e-01	9.938997823827890876e-01	6.631817513547164783e-03	1.102322137475543751e-01	9.938837346736189016e-01
5.003335557038025155e-02	8.271391992539227356e-03	1.099401864186806271e-01	9.939037878410221794e-01	8.286965320638502164e-03	1.101201532735676947e-01	9.938837346736189016e-01
6.004002668445630742e-02	9.918330128743753013e-03	1.097676194685040241e-01	9.939077907148505808e-01	9.940243009188472548e-03	1.099832419968505282e-01	9.938837346736189016e-01
7.004669779853235634e-02	1.156195698330354446e-02	1.095704013417667932e-01	9.939117910058821170e-01	1.159127748420512617e-02	1.098215108141554625e-01	9.938837346736189016e-01
8.005336891260840526e-02	1.320190387993825341e-02	1.093485924717114421e-01	9.939157887157243909e-01	1.323969615692227944e-02	1.096349962233404973e-01	9.938837346736189016e-01
9.006004002668445418e-02	1.483780320905792038e-02	1.091022588010132355e-01	9.939197838459831180e-01	1.488512702888156528e-02	1.094237403151325644e-01	9.938837346736189016e-01
1.000667111407605031e-01	1.646928851003063438e-02	1.088314717633975109e-01	9.939237763982640139e-01	1.652719877588128619e-02	1.091877907636289446e-01	9.938837346736189016e-01
1.100733822548365520e-01	1.809599455313899014e-02	1.085363082640291715e-01	9.939277663741707958e-01	1.816554083177308529e-02	1.089272008155386801e-01	9.938837346736189016e-01
1.200800533689126148e-01	1.971755742120715610e-02	1.082168506586802942e-01	9.939317537753074028e-01	1.979978347208759953e-02	1.086420292781663383e-01	9.938837346736189016e-01
1.300867244829886638e-01	2.133361459088018580e-02	1.078731867316805038e-01	9.939357386032759978e-01	2.142955789747011397e-02	1.083323405061410311e-01	9.938837346736189016e-01
1.400933955970647127e-01	2.294380501353760274e-02	1.075054096726566349e-01	9.939397208596780775e-01	2.305449631690745932e-02	1.079982043868934344e-01	9.938837346736189016e-01
1.501000667111407616e-01	2.454776919582313949e-02	1.071136180520670389e-01	9.939437005461146946e-01	2.467423203072745957e-02	1.076396963248843902e-01	9.938837346736189016e-01
1.601067378252168105e-01	2.614514927977268019e-02	1.066979157955371682e-01	9.939476776641852362e-01	2.628839951335186151e-02	1.072568972245883517e-01	9.938837346736189016e-01
1.701134089392928594e-01	2.773558912252264974e-02	1.062584121570028933e-01	9.939516522154883127e-01	2.789663449578455925e-02	1.068498934722356547e-01	9.938837346736189016e-01
1.801200800533689084e-01	2.931873437558108961e-02	1.057952216906684756e-01	9.939556242016222010e-01	2.949857404781609099e-02	1.064187769163178199e-01	9.938837346736189016e-01
1.901267511674449573e-01	3.089423256364374343e-02	1.053084642217858580e-01	9.939595936241837348e-01	3.109385665992608905e-02	1.059636448468599806e-01	9.938837346736189016e-01
2.001334222815210062e-01	3.246173316293773925e-02	1.047982648162632119e-01	9.939635604847688599e-01	3.268212232486505942e-02	1.054845999734656259e-01	9.938837346736189016e-01
2.101400933955970551e-01	3.402088767907544831e-02	1.042647537491098592e-01	9.939675247849726336e-01	3.426301261889718591e-02	1.049817504021379883e-01	9.938837346736189016e-01
2.201467645096731041e-01	3.557134972440124943e-02	1.037080664717256046e-01	9.939714865263894472e-01	3.583617078268587497e-02	1.044552096108838229e-01	9.938837346736189016e-01
2.301534356237491530e-01	3.711277509481406695e-02	1.031283435780425833e-01	9.939754457106126928e-01	3.740124180180333380e-02	1.039050964241049341e-01	9.938837346736189016e-01
2.401601067378252297e-01	3.864482184604861592e-02	1.025257307695278258e-01	9.939794023392343192e-01	3.895787248684699777e-02	1.033315349857829024e-01	9.938837346736189016e-01
2.501667778519012786e-01	4.016715036939862843e-02	1.019003788190555870e-01	9.939833564138461641e-01	4.050571155314336425e-02	1.027346547314636899e-01	9.938837346736189016e-01
2.601734489659773275e-01	4.167942346686515087e-02	1.012524435336576295e-01	9.939873079360386221e-01	4.204440970002271821e-02	1.021145903590478243e-01	9.938837346736189016e-01
2.701801200800533764e-01	4.318130642571340466e-02	1.005820857161612014e-01	9.939912569074013104e-01	4.357361968964552912e-02	1.014714817983932010e-01	9.938837346736189016e-01
2.801867911941294254e-01	4.467246709242172348e-02	9.988947112572371667e-02	9.939952033295230693e-01	4.509299642536367114e-02	1.008054741797371201e-01	9.938837346736189016e-01
2.901934623082054743e-01	4.615257594600627455e-02	9.917477043727375430e-02	9.939991472039914067e-01	4.660219702959832871e-02	1.001167178009447351e-01	9.938837346736189016e-01
3.002001334222815232e-01	4.762130617070541722e-02	9.843815919986842466e-02	9.940030885323934973e-01	4.810088092121715675e-02	9.940536809359136472e-02	9.938837346736189016e-01
3.102068045363575721e-01	4.907833372800761429e-02	9.767981779397688635e-02	9.940070273163151837e-01	4.958870989239316796e-02	9.867158558788631517e-02	9.938837346736189016e-01
3.202134756504336210e-01	5.052333742800717981e-02	9.689993138770058856e-02	9.940109635573416424e-01	5.106534818492804162e-02	9.791553587644594159e-02	9.938837346736189016e-01
3.302201467645096700e-01	5.195599900007203537e-02	9.609868989194056410e-02	9.940148972570567176e-01	5.253046256602272868e-02	9.713738957692445719e-02	9.938837346736189016e-01
3.402268178785857189e-01	5.337600316280814022e-02	9.527628791452281976e-02	9.940188284170440314e-01	5.398372240347792950e-02	9.633732229351063547e-02	9.938837346736189016e-01
3.502334889926617678e-01	5.478303769330499645e-02	9.443292471329249593e-02	9.940227570388856515e-01	5.542479974030789514e-02	9.551551457729928751e-02	9.938837346736189016e-01
3.602401601067378167e-01	5.617679349564731750e-02	9.356880414818831426e-02	9.940266831241632017e-01	5.685336936875044767e-02	9.467215188554622962e-02	9.938837346736189016e-01
3.702468312208138657e-01	5.755696466867762234e-02	9.268413463230862348e-02	9.940306066744569735e-01	5.826910890365656626e-02	9.380742453981623374e-02	9.938837346736189016e-01
3.802535023348899146e-01	5.892324857299507251e-02	9.177912908198071484e-02	9.940345276913462591e-01	5.967169885524301054e-02	9.292152768303314769e-02	9.938837346736189016e-01
3.902601734489659635e-01	6.027534589717599423e-02	9.085400486584557789e-02	9.940384461764105728e-01	6.106082270119156385e-02	9.201466123544202458e-02	9.938837346736189016e-01
4.002668445630420124e-01	6.161296072320120165e-02	8.990898375296944856e-02	9.940423621312269864e-01	6.243616695807854139e-02	9.108702984949311465e-02	9.938837346736189016e-01
4.102735156771180614e-01	6.293580059107646563e-02	8.894429185999561116e-02	9.940462755573727938e-01	6.379742125211858295e-02	9.013884286365803078e-02	9.938837346736189016e-01
4.202801867911941103e-01	6.424357656263154914e-02	8.796015959734784784e-02	9.940501864564235124e-01	6.514427838920668068e-02	8.917031425518834320e-02	9.938837346736189016e-01
4.302868579052701592e-01	6.553600328448420942e-02	8.695682161449917735e-02	9.940540948299543267e-01	6.647643442424269744e-02	8.818166259182726174e-02	9.938837346736189016e-01
4.402935290193462081e-01	6.681279905015530263e-02	8.593451674431819287e-02	9.940580006795398660e-01	6.779358872972243710e-02	8.717311098248563261e-02	9.938837346736189016e-01
4.503002001334222570e-01	6.807368586132153676e-02	8.489348794650637686e-02	9.940619040067527612e-01	6.909544406358046620e-02	8.614488702689283850e-02	9.938837346736189016e-01
4.603068712474983060e-01	6.931838948819278590e-02	8.383398225013991012e-02	9.940658048131655322e-01	7.038170663626847068e-02	8.509722276423449527e-02	9.938837346736189016e-01
4.703135423615743549e-01	7.054663952900057378e-02	8.275625069532914491e-02	9.940697031003493667e-01	7.165208617705490224e-02	8.403035462078811690e-02	9.938837346736189016e-01
4.803202134756504593e-01	7.175816946858513956e-02	8.166054827400981431e-02	9.940735988698754522e-01	7.290629599953019069e-02	8.294452335656885000e-02	9.938837346736189016e-01
4.903268845897265082e-01	7.295271673606808227e-02	8.054713386987939761e-02	9.940774921233125339e-01	7.414405306630331149e-02	8.183997401099725455e-02	9.938837346736189016e-01
5.003335557038025572e-01	7.413002276159869064e-02	7.941627019749354643e-02	9.940813828622301340e-01	7.536507805287480377e-02	8.071695584760116282e-02	9.938837346736189016e-01
5.103402268178786061e-01	7.528983303216098266e-02	7.826822374053581111e-02	9.940852710881952214e-01	7.656909541067187519e-02	7.957572229776449513e-02	9.938837346736189016e-01
5.203468979319546550e-01	7.643189714643025545e-02	7.710326468927619636e-02	9.940891568027754310e-01	7.775583342923143848e-02	7.841653090353539746e-02	9.938837346736189016e-01
5.303535690460307039e-01	7.755596886866661377e-02	7.592166687723209129e-02	9.940930400075361772e-01	7.892502429751692417e-02	7.723964325950677390e-02	9.938837346736189016e-01
5.403602401601067529e-01	7.866180618163452765e-02	7.472370771704740788e-02	9.940969207040428746e-01	8.007640416435526931e-02	7.604532495378221735e-02	9.938837346736189016e-01
5.503669112741828018e-01	7.974917133853665074e-02	7.350966813560405599e-02	9.941007988938597162e-01	8.120971319798009347e-02	7.483384550804085544e-02	9.938837346736189016e-01
5.603735823882588507e-01	8.081783091395101926e-02	7.227983250838138085e-02	9.941046745785496741e-01	8.232469564466793344e-02	7.360547831671430952e-02	9.938837346736189016e-01
5.703802535023348996e-01	8.186755585376073729e-02	7.103448859307869012e-02	9.941085477596756093e-01	8.342109988645417251e-02	7.236050058528992190e-02	9.938837346736189016e-01
5.803869246164109486e-01	8.289812152406531021e-02	6.977392746251626088e-02	9.941124184387986062e-01	8.449867849791560526e-02	7.109919326775376858e-02	9.938837346736189016e-01
5.903935957304869975e-01	8.390930775906364769e-02	6.849844343683050840e-02	9.941162866174790835e-01	8.555718830200696734e-02	6.982184100318773734e-02	9.938837346736189016e-01
6.004002668445630464e-01	8.490089890789816185e-02	6.720833401497916526e-02	9.941201522972773486e-01	8.659639042493859351e-02	6.852873205153522940e-02	9.938837346736189016e-01
6.104069379586390953e-01	8.587268388045002365e-02	6.590389980557197214e-02	9.941240154797515993e-01	8.761605035008307452e-02	6.722015822854937594e-02	9.938837346736189016e-01
6.204136090727151442e-01	8.682445619207636300e-02	6.458544445704345049e-02	9.941278761664600339e-01	8.861593797089861724e-02	6.589641483993917415e-02	9.938837346736189016e-01
6.304202801867911932e-01	8.775601400727947587e-02	6.325327458718355000e-02	9.941317343589592959e-01	8.959582764285717316e-02	6.455780061472771170e-02	9.938837346736189016e-01
6.404269513008672421e-01	8.866716018229918450e-02	6.190769971204260896e-02	9.941355900588058070e-01	9.055549823436551127e-02	6.320461763783823128e-02	9.938837346736189016e-01
6.504336224149432910e-01	8.955770230661908027e-02	6.054903217422704514e-02	9.941394432675545456e-01	9.149473317666810546e-02	6.183717128192247475e-02	9.938837346736189016e-01
6.604402935290193399e-01	9.042745274337835037e-02	5.917758707060242346e-02	9.941432939867598240e-01	9.241332051272005410e-02	6.045577013844734976e-02	9.938837346736189016e-01
6.704469646430953889e-01	9.127622866868043139e-02	5.779368217942046360e-02	9.941471422179751771e-01	9.331105294501952641e-02	5.906072594805509418e-02	9.938837346736189016e-01
6.804536357571714378e-01	9.210385210979042669e-02	5.639763788688683527e-02	9.941509879627526969e-01	9.418772788238843896e-02	5.765235353021292558e-02	9.938837346736189016e-01
6.904603068712474867e-01	9.291014998221358567e-02	5.498977711318686623e-02	9.941548312226444750e-01	9.504314748569128724e-02	5.623097071216753146e-02	9.938837346736189016e-01
7.004669779853235356e-01	9.369495412564654568e-02	5.357042523798578176e-02	9.941586719992008270e-01	9.587711871248139062e-02	5.479689825722125485e-02	9.938837346736189016e-01
7.104736490993995845e-01	9.445810133879477266e-02	5.213991002542109343e-02	9.941625102939716241e-01	9.668945336056486428e-02	5.335045979234534497e-02	9.938837346736189016e-01
7.204803202134756335e-01	9.519943341304831774e-02	5.069856154860405417e-02	9.941663461085056275e-01	9.747996811047210386e-02	5.189198173514717599e-02	9.938837346736189016e-01
7.304869913275516824e-01	9.591879716500947839e-02	4.924671211364766571e-02	9.941701794443509321e-01	9.824848456682748477e-02	5.042179322020753918e-02	9.938837346736189016e-01
7.404936624416277313e-01	9.661604446786550837e-02	4.778469618323872431e-02	9.941740103030548559e-01	9.899482929860788094e-02	4.894022602480493922e-02	9.938837346736189016e-01
7.505003335557037802e-01	9.729103228159997896e-02	4.631285029977126599e-02	9.941778386861638284e-01	9.971883387828071876e-02	4.744761449404343023e-02	9.938837346736189016e-01
7.605070046697798292e-01	9.794362268203689326e-02	4.483151300805923029e-02	9.941816645952220588e-01	1.004203349198131145e-01	4.594429546540102632e-02	9.938837346736189016e-01
7.705136757838558781e-01	9.857368288871186379e-02	4.334102477764611994e-02	9.941854880317753107e-01	1.010991741155431306e-01	4.443060819271552053e-02	9.938837346736189016e-01
7.805203468979319270e-01	9.918108529156395570e-02	4.184172792472896224e-02	9.941893089973661279e-01	1.017551982719050452e-01	4.290689426962526060e-02	9.938837346736189016e-01
7.905270180120079759e-01	9.976570747644428194e-02	4.033396653371518897e-02	9.941931274935378315e-01	1.023882593440004901e-01	4.137349755248163896e-02	9.938837346736189016e-01
8.005336891260840249e-01	1.003274322494348697e-01	3.881808637842964343e-02	9.941969435218314111e-01	1.029982144690078094e-01	3.983076408275113001e-02	9.938837346736189016e-01
8.105403602401600738e-01	1.008661476599743839e-01	3.729443484299032469e-02	9.942007570837885222e-01	1.035849259984218534e-01	3.827904200892408987e-02	9.938837346736189016e-01
8.205470313542361227e-01	1.013817470227850182e-01	3.576336084237042440e-02	9.942045681809486002e-01	1.041482615291170893e-01	3.671868150794817959e-02	9.938837346736189016e-01
8.305537024683121716e-01	1.018741289385974164e-01	3.422521474266521091e-02	9.942083768148508582e-01	1.046880939332270194e-01	3.515003470620396697e-02	9.938837346736189016e-01
8.405603735823882205e-01	1.023431973136690459e-01	3.268034828108168366e-02	9.942121829870335104e-01	1.052043013868330934e-01	3.357345560004058871e-02	9.938837346736189016e-01
8.505670446964642695e-01	1.027888613780924831e-01	3.112911448566932013e-02	9.942159866990337713e-01	1.056967673974567173e-01	3.198929997588938201e-02	9.938837346736189016e-01
8.605737158105403184e-01	1.032110357028904329e-01	2.957186759481021665e-02	9.942197879523880788e-01	1.061653808303481272e-01	3.039792532997372121e-02	9.938837346736189016e-01
8.705803869246163673e-01	1.036096402158942636e-01	2.800896297648691399e-02	9.942235867486319822e-01	1.066100359335660497e-01	2.879969078763279164e-02	9.938837346736189016e-01
8.805870580386924162e-01	1.039846002164031558e-01	2.644075704734629925e-02	9.942273830893002540e-01	1.070306323618428757e-01	2.719495702227785541e-02	9.938837346736189016e-01
8.905937291527684652e-01	1.043358463886213672e-01	2.486760719157795826e-02	9.942311769759262230e-01	1.074270751992294354e-01	2.558408617399908491e-02	9.938837346736189016e-01
9.006004002668445141e-01	1.046633148138716024e-01	2.328987167962545332e-02	9.942349684100427742e-01	1.077992749805147532e-01	2.396744176784149777e-02	9.938837346736189016e-01
9.106070713809205630e-01	1.049669469815820849e-01	2.170790958674893856e-02	9.942387573931824596e-01	1.081471477114156199e-01	2.234538863176825998e-02	9.938837346736189016e-01
9.206137424949966119e-01	1.052466897990456951e-01	2.012208071145757740e-02	9.942425439268754994e-01	1.084706148875315690e-01	2.071829281433004016e-02	9.938837346736189016e-01
9.306204136090726609e-01	1.055024955999502856e-01	1.853274549383036873e-02	9.942463280126527803e-01	1.087696035120610111e-01	1.908652150205878556e-02	9.938837346736189016e-01
9.406270847231487098e-01	1.057343221516781062e-01	1.694026493374373860e-02	9.942501096520430792e-01	1.090440461122742927e-01	1.745044293660490131e-02	9.938837346736189016e-01
9.506337558372247587e-01	1.059421326613742831e-01	1.534500050902452666e-02	9.942538888465750624e-01	1.092938807547404051e-01	1.581042633163613070e-02	9.938837346736189016e-01
9.606404269513009186e-01	1.061258957807832831e-01	1.374731409354686650e-02	9.942576655977763966e-01	1.095190510593033600e-01	1.416684178951712128e-02	9.938837346736189016e-01
9.706470980653769676e-01	1.062855856098531282e-01	1.214756787529145884e-02	9.942614399071734166e-01	1.097195062118056369e-01	1.252006021778857142e-02	9.938837346736189016e-01
9.806537691794530165e-01	1.064211816991075671e-01	1.054612427438580968e-02	9.942652117762919017e-01	1.098952009755552461e-01	1.087045324546445126e-02	9.938837346736189016e-01
9.906604402935290654e-01	1.065326690507861079e-01	8.943345861143895889e-03	9.942689812066569655e-01	1.100460957015344243e-01	9.218393139166522129e-03	9.938837346736189016e-01
1.000667111407605114e+00	1.066200381187525498e-01	7.339595274123806093e-03	9.942727481997923888e-01	1.101721563373471713e-01	7.564252719115084796e-03	9.938837346736189016e-01
1.010673782521681163e+00	1.066832848071728734e-01	5.735235138221827199e-03	9.942765127572213979e-01	1.102733544349038253e-01	5.908405274994589854e-03	9.938837346736189016e-01
1.020680453635757212e+00	1.067224104679635466e-01	4.130627982821446186e-03	9.942802748804659974e-01	1.103496671568409693e-01	4.251224481713421384e-03	9.938837346736189016e-01
1.030687124749833261e+00	1.067374218970115612e-01	2.526136160015725503e-03	9.942840345710478589e-01	1.104010772816751557e-01	2.593084315076718029e-03	9.938837346736189016e-01
1.040693795863909310e+00	1.067283313291676750e-01	9.221217629214445823e-04	9.942877918304868778e-01	1.104275732076892280e-01	9.343589673912984029e-04	9.938837346736189016e-01
1.050700466977985359e+00	1.066951564320152146e-01	-6.810534558965722698e-04	9.942915466603032826e-01	1.104291489555505046e-01	-7.245772369782781585e-04	9.938837346736189016e-01
1.060707138092061408e+00	1.066379202984159419e-01	-2.283028165872627580e-03	9.942952990620154141e-01	1.104058041696601433e-01	-2.383349926083422506e-03	9.938837346736189016e-01
1.070713809206137457e+00	1.065566514378361168e-01	-3.883441539740485008e-03	9.942990490371410583e-01	1.103575441182333833e-01	-4.041584764876090391e-03	9.938837346736189016e-01
1.080720480320213506e+00	1.064513837664550072e-01	-5.481933334668621406e-03	9.943027965871972240e-01	1.102843796921106623e-01	-5.698907539684786028e-03	9.938837346736189016e-01
1.090727151434289555e+00	1.063221565960590365e-01	-7.078143973212167386e-03	9.943065417136999207e-01	1.101863274022998745e-01	-7.354944242663412346e-03	9.938837346736189016e-01
1.100733822548365604e+00	1.061690146217248165e-01	-8.671714624063386542e-03	9.943102844181643807e-01	1.100634093762503374e-01	-9.009321156193562247e-03	9.938837346736189016e-01
1.110740493662441652e+00	1.059920079082946193e-01	-1.026228728258257381e-02	9.943140247021047262e-01	1.099156533528593133e-01	-1.066166493722132784e-02	9.938837346736189016e-01
1.120747164776517701e+00	1.057911918756480607e-01	-1.184950485109134005e-02	9.943177625670345243e-01	1.097430926762121423e-01	-1.231160270150958441e-02	9.938837346736189016e-01
1.130753835890593750e+00	1.055666272827740920e-01	-1.343301121891029952e-02	9.943214980144663429e-01	1.095457662880575389e-01	-1.395876210778674090e-02	9.938837346736189016e-01
1.140760507004669799e+00	1.053183802106476274e-01	-1.501245134212323210e-02	9.943252310459116394e-01	1.093237187190195248e-01	-1.560277144177294947e-02	9.938837346736189016e-01
1.150767178118745848e+00	1.050465220439155828e-01	-1.658747132304991961e-02	9.943289616628816496e-01	1.090770000785483140e-01	-1.724325970006479469e-02	9.938837346736189016e-01
1.160773849232821897e+00	1.047511294513967656e-01	-1.815771848940983535e-02	9.943326898668854996e-01	1.088056660436119982e-01	-1.887985667385969762e-02	9.938837346736189016e-01
1.170780520346897946e+00	1.044322843654016258e-01	-1.972284147315910355e-02	9.943364156594327596e-01	1.085097778461320689e-01	-2.051219303250075357e-02	9.938837346736189016e-01
1.180787191460973995e+00	1.040900739598761560e-01	-2.128249028898300879e-02	9.943401390420316677e-01	1.081894022591650961e-01	-2.213990040682361701e-02	9.938837346736189016e-01
1.190793862575050044e+00	1.037245906273764201e-01	-2.283631641242664032e-02	9.943438600161890184e-01	1.078446115818341294e-01	-2.376261147228632409e-02	9.938837346736189016e-01
1.200800533689126093e+00	1.033359319548796257e-01	-2.438397285764624597e-02	9.943475785834117175e-01	1.074754836230129434e-01	-2.537996003186337307e-02	9.938837346736189016e-01
1.210807204803202142e+00	1.029242006984372598e-01	-2.592511425476390352e-02	9.943512947452047834e-01	1.070821016837669032e-01	-2.699158109868537644e-02	9.938837346736189016e-01
1.220813875917278191e+00	1.024895047566777018e-01	-2.745939692680842911e-02	9.943550085030731234e-01	1.066645545385544736e-01	-2.859711097840559116e-02	9.938837346736189016e-01
1.230820547031354240e+00	1.020319571431641537e-01	-2.898647896622526601e-02	9.943587198585207565e-01	1.062229364151933975e-01	-3.019618735127476208e-02	9.938837346736189016e-01
1.240827218145430288e+00	1.015516759576152866e-01	-3.050602031093841912e-02	9.943624288130501476e-01	1.057573469735964278e-01	-3.178844935390588711e-02	9.938837346736189016e-01
1.250833889259506337e+00	1.010487843559959159e-01	-3.201768281994757381e-02	9.943661353681634285e-01	1.052678912832810260e-01	-3.337353766071005784e-02	9.938837346736189016e-01
