t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01	6.761980746625912943e-18	1.104315260748465199e-01	9.938837346736189016e-01
1.000667111407605066e-02	3.298946324204554345e-03	1.103822399856540792e-01	9.938837346736788536e-01	1.658890155560203061e-03	1.104190655397485760e-01	9.938837346736189016e-01
2.001334222815210132e-02	6.594947979100483290e-03	1.102344257123629573e-01	9.938837346737386946e-01	3.317405949563664944e-03	1.103816867464223195e-01	9.938837346736189016e-01
3.002001334222815371e-02	9.885062923849659983e-03	1.099882151953291698e-01	9.938837346737985357e-01	4.975173104935787759e-03	1.103193981301358872e-01	9.938837346736189016e-01
4.002668445630420263e-02	1.316635437214462231e-02	1.096438282042843104e-01	9.938837346738584877e-01	6.631817513547164783e-03	1.102322137475543751e-01	9.938837346736189016e-01
5.003335557038025155e-02	1.643589341361053474e-02	1.092015721421671220e-01	9.938837346739183287e-01	8.286965320638502164e-03	1.101201532735676947e-01	9.938837346736189016e-01
6.004002668445630742e-02	1.969076162817704964e-02	1.086618417707329448e-01	9.938837346739781697e-01	9.940243009188472548e-03	1.099832419968505282e-01	9.938837346736189016e-01
7.004669779853235634e-02	2.292805369108640023e-02	1.080251188581856925e-01	9.938837346740380108e-01	1.159127748420512617e-02	1.098215108141554625e-01	9.938837346736189016e-01
8.005336891260840526e-02	2.614487996621252253e-02	1.072919717491472996e-01	9.938837346740978518e-01	1.323969615692227944e-02	1.096349962233404973e-01	9.938837346736189016e-01
9.006004002668445418e-02	2.933836908537635832e-02	1.064630548573481106e-01	9.938837346741578038e-01	1.488512702888156528e-02	1.094237403151325644e-01	9.938837346736189016e-01
1.000667111407605031e-01	3.250567051135499347e-02	1.055391080814913063e-01	9.938837346742176448e-01	1.652719877588128619e-02	1.091877907636289446e-01	9.938837346736189016e-01
1.100733822548365520e-01	3.564395708229694398e-02	1.045209561448126323e-01	9.938837346742774859e-01	1.816554083177308529e-02	1.089272008155386801e-01	9.938837346736189016e-01
