t	Mz
0.000000000000000000e+00	9.707106781186547906e+00
1.000400160064025649e-02	9.707708626669457885e+00
2.000800320128051299e-02	9.708309745962260706e+00
3.001200480192076775e-02	9.708910138051031424e+00
4.001600640256102598e-02	9.709509801928629003e+00
5.002000800320128421e-02	9.710108736594714074e+00
6.002400960384153550e-02	9.710706941055745389e+00
7.002801120448179373e-02	9.711304414324988699e+00
8.003201280512205196e-02	9.711901155422520304e+00
9.003601440576231019e-02	9.712497163375232390e+00
1.000400160064025684e-01	9.713092437216840125e+00
1.100440176070428266e-01	9.713686975987883443e+00
1.200480192076830710e-01	9.714280778735730593e+00
1.300520208083233431e-01	9.714873844514587020e+00
1.400560224089635875e-01	9.715466172385493593e+00
1.500600240096038596e-01	9.716057761416337257e+00
1.600640256102441039e-01	9.716648610681845710e+00
1.700680272108843483e-01	9.717238719263603386e+00
1.800720288115246204e-01	9.717828086250040798e+00
1.900760304121648647e-01	9.718416710736450526e+00
2.000800320128051368e-01	9.719004591824983663e+00
2.100840336134453812e-01	9.719591728624653371e+00
2.200880352140856533e-01	9.720178120251340204e+00
2.300920368147258976e-01	9.720763765827788561e+00
2.400960384153661420e-01	9.721348664483620894e+00
2.501000400160063863e-01	9.721932815355327051e+00
2.601040416166466862e-01	9.722516217586274934e+00
2.701080432172869306e-01	9.723098870326712273e+00
2.801120448179271749e-01	9.723680772733763078e+00
2.901160464185674193e-01	9.724261923971432964e+00
3.001200480192077191e-01	9.724842323210612705e+00
3.101240496198479635e-01	9.725421969629074681e+00
3.201280512204882078e-01	9.726000862411483538e+00
3.301320528211284522e-01	9.726579000749381976e+00
3.401360544217686965e-01	9.727156383841206733e+00
3.501400560224089964e-01	9.727733010892281484e+00
3.601440576230492407e-01	9.728308881114820394e+00
3.701480592236894851e-01	9.728883993727926338e+00
3.801520608243297294e-01	9.729458347957592679e+00
3.901560624249700293e-01	9.730031943036705044e+00
4.001600640256102737e-01	9.730604778205039551e+00
4.101640656262505180e-01	9.731176852709262803e+00
4.201680672268907624e-01	9.731748165802930117e+00
4.301720688275310067e-01	9.732318716746487297e+00
4.401760704281713066e-01	9.732888504807274188e+00
4.501800720288115509e-01	9.733457529259514018e+00
4.601840736294517953e-01	9.734025789384322280e+00
4.701880752300920396e-01	9.734593284469699626e+00
4.801920768307322840e-01	9.735160013810530089e+00
4.901960784313725839e-01	9.735725976708588192e+00
5.002000800320127727e-01	9.736291172472528288e+00
5.102040816326530726e-01	9.736855600417888112e+00
5.202080832332933724e-01	9.737419259867081678e+00
5.302120848339335613e-01	9.737982150149408156e+00
5.402160864345738611e-01	9.738544270601035890e+00
5.502200880352141610e-01	9.739105620565009502e+00
5.602240896358543498e-01	9.739666199391249890e+00
5.702280912364946497e-01	9.740226006436540018e+00
5.802320928371348385e-01	9.740785041064533800e+00
5.902360944377751384e-01	9.741343302645750768e+00
6.002400960384154383e-01	9.741900790557565415e+00
6.102440976390556271e-01	9.742457504184216077e+00
6.202480992396959270e-01	9.743013442916794276e+00
6.302521008403361158e-01	9.743568606153239386e+00
6.402561024409764157e-01	9.744122993298345747e+00
6.502601040416167155e-01	9.744676603763746670e+00
6.602641056422569044e-01	9.745229436967919767e+00
6.702681072428972042e-01	9.745781492336174523e+00
6.802721088435373931e-01	9.746332769300659393e+00
6.902761104441776929e-01	9.746883267300347597e+00
7.002801120448179928e-01	9.747432985781037118e+00
7.102841136454581816e-01	9.747981924195347148e+00
7.202881152460984815e-01	9.748530082002709207e+00
7.302921168467386703e-01	9.749077458669370699e+00
7.402961184473789702e-01	9.749624053668378920e+00
7.503001200480192701e-01	9.750169866479584613e+00
7.603041216486594589e-01	9.750714896589636638e+00
7.703081232492997588e-01	9.751259143491967762e+00
7.803121248499400586e-01	9.751802606686801767e+00
7.903161264505802475e-01	9.752345285681135678e+00
8.003201280512205473e-01	9.752887179988745103e+00
8.103241296518607362e-01	9.753428289130171791e+00
8.203281312525010360e-01	9.753968612632720081e+00
8.303321328531413359e-01	9.754508150030448022e+00
8.403361344537815247e-01	9.755046900864162041e+00
8.503401360544218246e-01	9.755584864681416946e+00
8.603441376550620134e-01	9.756122041036499937e+00
8.703481392557023133e-01	9.756658429490428830e+00
8.803521408563426132e-01	9.757194029610943176e+00
8.903561424569828020e-01	9.757728840972502482e+00
9.003601440576231019e-01	9.758262863156273781e+00
9.103641456582632907e-01	9.758796095750124522e+00
9.203681472589035906e-01	9.759328538348619020e+00
9.303721488595438904e-01	9.759860190553007797e+00
9.403761504601840793e-01	9.760391051971222254e+00
9.503801520608243791e-01	9.760921122217865786e+00
9.603841536614645680e-01	9.761450400914206682e+00
9.703881552621048678e-01	9.761978887688169237e+00
9.803921568627451677e-01	9.762506582174324876e+00
9.903961584633853565e-01	9.763033484013885044e+00
1.000400160064025545e+00	9.763559592854699432e+00
1.010404161664665956e+00	9.764084908351231107e+00
1.020408163265306145e+00	9.764609430164565396e+00
1.030412164865946334e+00	9.765133157962393895e+00
1.040416166466586745e+00	9.765656091419002038e+00
1.050420168067226934e+00	9.766178230215265543e+00
1.060424169667867123e+00	9.766699574038641529e+00
1.070428171268507533e+00	9.767220122583154307e+00
1.080432172869147722e+00	9.767739875549391826e+00
1.090436174469787911e+00	9.768258832644495016e+00
1.100440176070428322e+00	9.768776993582140022e+00
1.110444177671068511e+00	9.769294358082545315e+00
1.120448179271708700e+00	9.769810925872446816e+00
1.130452180872348888e+00	9.770326696685092571e+00
1.140456182472989299e+00	9.770841670260235645e+00
1.150460184073629488e+00	9.771355846344125240e+00
1.160464185674269677e+00	9.771869224689485378e+00
1.170468187274910088e+00	9.772381805055520232e+00
1.180472188875550277e+00	9.772893587207892807e+00
1.190476190476190466e+00	9.773404570918714285e+00
1.200480192076830877e+00	9.773914755966540469e+00
1.210484193677471065e+00	9.774424142136359350e+00
1.220488195278111254e+00	9.774932729219571570e+00
1.230492196878751443e+00	9.775440517013993968e+00
1.240496198479391854e+00	9.775947505323831166e+00
1.250500200080032043e+00	9.776453693959677338e+00
1.260504201680672232e+00	9.776959082738507334e+00
1.270508203281312642e+00	9.777463671483650032e+00
1.280512204881952831e+00	9.777967460024788338e+00
1.290516206482593020e+00	9.778470448197946752e+00
1.300520208083233431e+00	9.778972635845480710e+00
1.310524209683873620e+00	9.779474022816051715e+00
1.320528211284513809e+00	9.779974608964636218e+00
1.330532212885154220e+00	9.780474394152495421e+00
1.340536214485794408e+00	9.780973378247177052e+00
1.350540216086434597e+00	9.781471561122490499e+00
1.360544217687074786e+00	9.781968942658505028e+00
1.370548219287715197e+00	9.782465522741528474e+00
1.380552220888355386e+00	9.782961301264103682e+00
1.390556222488995575e+00	9.783456278124987193e+00
1.400560224089635986e+00	9.783950453229142141e+00
1.410564225690276174e+00	9.784443826487724039e+00
1.420568227290916363e+00	9.784936397818066567e+00
1.430572228891556774e+00	9.785428167143669143e+00
1.440576230492196963e+00	9.785919134394184482e+00
1.450580232092837152e+00	9.786409299505404391e+00
1.460584233693477341e+00	9.786898662419247330e+00
1.470588235294117752e+00	9.787387223083745980e+00
1.480592236894757940e+00	9.787874981453027701e+00
1.490596238495398129e+00	9.788361937487309206e+00
1.500600240096038540e+00	9.788848091152878794e+00
1.510604241696678729e+00	9.789333442422082143e+00
1.520608243297318918e+00	9.789817991273306319e+00
1.530612244897959329e+00	9.790301737690972672e+00
1.540616246498599518e+00	9.790784681665517297e+00
1.550620248099239706e+00	9.791266823193375046e+00
1.560624249699880117e+00	9.791748162276974199e+00
1.570628251300520306e+00	9.792228698924711594e+00
1.580632252901160495e+00	9.792708433150943748e+00
1.590636254501800684e+00	9.793187364975972642e+00
1.600640256102441095e+00	9.793665494426027962e+00
1.610644257703081283e+00	9.794142821533256438e+00
1.620648259303721472e+00	9.794619346335702303e+00
1.630652260904361883e+00	9.795095068877298417e+00
1.640656262505002072e+00	9.795569989207846717e+00
1.650660264105642261e+00	9.796044107383004018e+00
1.660664265706282672e+00	9.796517423464266017e+00
1.670668267306922861e+00	9.796989937518958413e+00
1.680672268907563049e+00	9.797461649620210267e+00
1.690676270508203238e+00	9.797932559846948664e+00
1.700680272108843649e+00	9.798402668283879180e+00
1.710684273709483838e+00	9.798871975021471670e+00
1.720688275310124027e+00	9.799340480155944277e+00
1.730692276910764438e+00	9.799808183789245675e+00
1.740696278511404627e+00	9.800275086029042626e+00
1.750700280112044815e+00	9.800741186988702225e+00
1.760704281712685226e+00	9.801206486787275907e+00
1.770708283313325415e+00	9.801670985549485238e+00
1.780712284913965604e+00	9.802134683405704152e+00
1.790716286514606015e+00	9.802597580491946516e+00
1.800720288115246204e+00	9.803059676949839485e+00
1.810724289715886393e+00	9.803520972926623500e+00
1.820728291316526581e+00	9.803981468575122094e+00
1.830732292917166992e+00	9.804441164053731228e+00
1.840736294517807181e+00	9.804900059526405087e+00
1.850740296118447370e+00	9.805358155162634759e+00
1.860744297719087781e+00	9.805815451137432248e+00
1.870748299319727970e+00	9.806271947631318042e+00
1.880752300920368159e+00	9.806727644830301571e+00
1.890756302521008569e+00	9.807182542925865221e+00
1.900760304121648758e+00	9.807636642114943015e+00
1.910764305722288947e+00	9.808089942599909961e+00
1.920768307322929136e+00	9.808542444588567832e+00
1.930772308923569547e+00	9.808994148294114979e+00
1.940776310524209736e+00	9.809445053935142766e+00
1.950780312124849925e+00	9.809895161735608937e+00
1.960784313725490335e+00	9.810344471924830501e+00
1.970788315326130524e+00	9.810792984737457090e+00
1.980792316926770713e+00	9.811240700413454974e+00
1.990796318527411124e+00	9.811687619198096399e+00
2.000800320128051091e+00	9.812133741341934723e+00
2.010804321728691502e+00	9.812579067100793750e+00
2.020808323329331913e+00	9.813023596735741094e+00
2.030812324929971879e+00	9.813467330513081066e+00
2.040816326530612290e+00	9.813910268704326256e+00
2.050820328131252701e+00	9.814352411586190428e+00
2.060824329731892668e+00	9.814793759440565424e+00
2.070828331332533079e+00	9.815234312554501628e+00
2.080832332933173490e+00	9.815674071220195529e+00
2.090836334533813456e+00	9.816113035734963077e+00
2.100840336134453867e+00	9.816551206401234353e+00
2.110844337735094278e+00	9.816988583526523371e+00
2.120848339335734245e+00	9.817425167423419197e+00
2.130852340936374656e+00	9.817860958409559302e+00
2.140856342537015067e+00	9.818295956807620684e+00
2.150860344137655034e+00	9.818730162945296769e+00
2.160864345738295444e+00	9.819163577155276101e+00
2.170868347338935855e+00	9.819596199775229906e+00
2.180872348939575822e+00	9.820028031147792547e+00
2.190876350540216233e+00	9.820459071620540215e+00
2.200880352140856644e+00	9.820889321545976713e+00
2.210884353741496611e+00	9.821318781281510368e+00
2.220888355342137022e+00	9.821747451189438038e+00
2.230892356942776988e+00	9.822175331636930906e+00
2.240896358543417399e+00	9.822602422996006055e+00
2.250900360144057810e+00	9.823028725643517589e+00
2.260904361744697777e+00	9.823454239961131762e+00
2.270908363345338188e+00	9.823878966335310992e+00
2.280912364945978599e+00	9.824302905157294319e+00
2.290916366546618566e+00	9.824726056823081421e+00
2.300920368147258976e+00	9.825148421733407744e+00
2.310924369747899387e+00	9.825570000293732065e+00
2.320928371348539354e+00	9.825990792914216954e+00
2.330932372949179765e+00	9.826410800009702129e+00
2.340936374549820176e+00	9.826830021999699127e+00
2.350940376150460143e+00	9.827248459308357553e+00
2.360944377751100554e+00	9.827666112364457973e+00
2.370948379351740964e+00	9.828082981601387047e+00
2.380952380952380931e+00	9.828499067457121541e+00
2.390956382553021342e+00	9.828914370374203457e+00
2.400960384153661753e+00	9.829328890799729379e+00
2.410964385754301720e+00	9.829742629185325598e+00
2.420968387354942131e+00	9.830155585987128575e+00
2.430972388955582542e+00	9.830567761665770732e+00
2.440976390556222508e+00	9.830979156686357356e+00
2.450980392156862919e+00	9.831389771518445286e+00
2.460984393757502886e+00	9.831799606636034028e+00
2.470988395358143297e+00	9.832208662517533782e+00
2.480992396958783708e+00	9.832616939645749454e+00
2.490996398559423675e+00	9.833024438507871778e+00
2.501000400160064085e+00	9.833431159595441784e+00
2.511004401760704496e+00	9.833837103404341917e+00
2.521008403361344463e+00	9.834242270434778277e+00
2.531012404961984874e+00	9.834646661191253969e+00
2.541016406562625285e+00	9.835050276182551343e+00
2.551020408163265252e+00	9.835453115921716005e+00
2.561024409763905663e+00	9.835855180926039054e+00
2.571028411364546074e+00	9.836256471717026884e+00
2.581032412965186040e+00	9.836656988820397629e+00
2.591036414565826451e+00	9.837056732766045641e+00
2.601040416166466862e+00	9.837455704088036157e+00
2.611044417767106829e+00	9.837853903324573324e+00
2.621048419367747240e+00	9.838251331017991319e+00
2.631052420968387651e+00	9.838647987714727705e+00
2.641056422569027617e+00	9.839043873965305664e+00
2.651060424169668028e+00	9.839438990324318013e+00
2.661064425770308439e+00	9.839833337350402331e+00
2.671068427370948406e+00	9.840226915606226754e+00
2.681072428971588817e+00	9.840619725658459771e+00
2.691076430572228784e+00	9.841011768077770228e+00
2.701080432172869195e+00	9.841403043438784692e+00
2.711084433773509605e+00	9.841793552320083904e+00
2.721088435374149572e+00	9.842183295304181456e+00
2.731092436974789983e+00	9.842572272977495373e+00
2.741096438575430394e+00	9.842960485930337455e+00
2.751100440176070361e+00	9.843347934756886630e+00
2.761104441776710772e+00	9.843734620055176521e+00
2.771108443377351183e+00	9.844120542427074128e+00
2.781112444977991149e+00	9.844505702478251408e+00
2.791116446578631560e+00	9.844890100818179945e+00
2.801120448179271971e+00	9.845273738060097202e+00
2.811124449779911938e+00	9.845656614820997632e+00
2.821128451380552349e+00	9.846038731721611370e+00
2.831132452981192760e+00	9.846420089386375807e+00
2.841136454581832727e+00	9.846800688443426708e+00
2.851140456182473137e+00	9.847180529524571568e+00
2.861144457783113548e+00	9.847559613265275402e+00
2.871148459383753515e+00	9.847937940304637650e+00
2.881152460984393926e+00	9.848315511285370860e+00
2.891156462585034337e+00	9.848692326853784706e+00
2.901160464185674304e+00	9.849068387659764667e+00
2.911164465786314715e+00	9.849443694356752488e+00
2.921168467386954681e+00	9.849818247601728416e+00
2.931172468987595092e+00	9.850192048055188110e+00
2.941176470588235503e+00	9.850565096381123098e+00
2.951180472188875470e+00	9.850937393247006568e+00
2.961184473789515881e+00	9.851308939323768499e+00
2.971188475390156292e+00	9.851679735285776118e+00
2.981192476990796258e+00	9.852049781810816143e+00
2.991196478591436669e+00	9.852419079580078787e+00
3.001200480192077080e+00	9.852787629278125792e+00
3.011204481792717047e+00	9.853155431592888647e+00
3.021208483393357458e+00	9.853522487215631287e+00
3.031212484993997869e+00	9.853888796840944764e+00
3.041216486594637836e+00	9.854254361166717047e+00
3.051220488195278246e+00	9.854619180894124142e+00
3.061224489795918657e+00	9.854983256727596341e+00
3.071228491396558624e+00	9.855346589374816446e+00
3.081232492997199035e+00	9.855709179546682464e+00
3.091236494597839446e+00	9.856071027957298725e+00
3.101240496198479413e+00	9.856432135323958121e+00
3.111244497799119824e+00	9.856792502367113684e+00
3.121248499399760234e+00	9.857152129810367924e+00
3.131252501000400201e+00	9.857511018380444412e+00
3.141256502601040612e+00	9.857869168807178895e+00
3.151260504201680579e+00	9.858226581823490875e+00
3.161264505802320990e+00	9.858583258165367624e+00
3.171268507402961401e+00	9.858939198571848195e+00
3.181272509003601368e+00	9.859294403784996774e+00
3.191276510604241778e+00	9.859648874549892028e+00
3.201280512204882189e+00	9.860002611614598678e+00
3.211284513805522156e+00	9.860355615730155066e+00
3.221288515406162567e+00	9.860707887650550063e+00
3.231292517006802978e+00	9.861059428132705307e+00
3.241296518607442945e+00	9.861410237936459211e+00
3.251300520208083356e+00	9.861760317824538546e+00
3.261304521808723766e+00	9.862109668562549558e+00
3.271308523409363733e+00	9.862458290918953097e+00
3.281312525010004144e+00	9.862806185665045078e+00
3.291316526610644555e+00	9.863153353574940496e+00
3.301320528211284522e+00	9.863499795425552108e+00
3.311324529811924933e+00	9.863845511996572668e+00
3.321328531412565344e+00	9.864190504070453613e+00
3.331332533013205310e+00	9.864534772432387300e+00
3.341336534613845721e+00	9.864878317870291013e+00
3.351340536214486132e+00	9.865221141174782105e+00
3.361344537815126099e+00	9.865563243139161997e+00
3.371348539415766510e+00	9.865904624559400204e+00
3.381352541016406477e+00	9.866245286234109457e+00
3.391356542617046888e+00	9.866585228964529719e+00
3.401360544217687298e+00	9.866924453554512198e+00
3.411364545818327265e+00	9.867262960810496253e+00
3.421368547418967676e+00	9.867600751541488080e+00
3.431372549019608087e+00	9.867937826559053605e+00
3.441376550620248054e+00	9.868274186677284732e+00
3.451380552220888465e+00	9.868609832712792240e+00
3.461384553821528876e+00	9.868944765484679138e+00
3.471388555422168842e+00	9.869278985814528227e+00
3.481392557022809253e+00	9.869612494526380786e+00
3.491396558623449664e+00	9.869945292446715257e+00
3.501400560224089631e+00	9.870277380404433032e+00
3.511404561824730042e+00	9.870608759230837137e+00
3.521408563425370453e+00	9.870939429759618022e+00
3.531412565026010419e+00	9.871269392826825140e+00
3.541416566626650830e+00	9.871598649270863390e+00
3.551420568227291241e+00	9.871927199932457597e+00
3.561424569827931208e+00	9.872255045654647176e+00
3.571428571428571619e+00	9.872582187282766597e+00
3.581432573029212030e+00	9.872908625664416959e+00
3.591436574629851997e+00	9.873234361649460666e+00
3.601440576230492407e+00	9.873559396089991225e+00
3.611444577831132374e+00	9.873883729840327916e+00
3.621448579431772785e+00	9.874207363756983824e+00
3.631452581032413196e+00	9.874530298698658726e+00
3.641456582633053163e+00	9.874852535526212449e+00
3.651460584233693574e+00	9.875174075102657767e+00
3.661464585834333985e+00	9.875494918293126645e+00
3.671468587434973951e+00	9.875815065964868467e+00
3.681472589035614362e+00	9.876134518987221611e+00
3.691476590636254773e+00	9.876453278231597466e+00
3.701480592236894740e+00	9.876771344571464439e+00
3.711484593837535151e+00	9.877088718882330198e+00
3.721488595438175562e+00	9.877405402041720350e+00
3.731492597038815529e+00	9.877721394929167786e+00
3.741496598639455939e+00	9.878036698426186035e+00
3.751500600240096350e+00	9.878351313416255053e+00
3.761504601840736317e+00	9.878665240784807011e+00
3.771508603441376728e+00	9.878978481419204982e+00
3.781512605042017139e+00	9.879291036208726950e+00
3.791516606642657106e+00	9.879602906044542721e+00
3.801520608243297517e+00	9.879914091819710364e+00
3.811524609843937927e+00	9.880224594429138918e+00
3.821528611444577894e+00	9.880534414769588381e+00
3.831532613045218305e+00	9.880843553739643070e+00
3.841536614645858272e+00	9.881152012239699189e+00
3.851540616246498683e+00	9.881459791171938178e+00
3.861544617847139094e+00	9.881766891440324940e+00
3.871548619447779060e+00	9.882073313950574089e+00
3.881552621048419471e+00	9.882379059610148175e+00
3.891556622649059882e+00	9.882684129328222156e+00
3.901560624249699849e+00	9.882988524015686949e+00
3.911564625850340260e+00	9.883292244585119235e+00
3.921568627450980671e+00	9.883595291950765471e+00
3.931572629051620638e+00	9.883897667028524125e+00
3.941576630652261048e+00	9.884199370735942125e+00
3.951580632252901459e+00	9.884500403992175777e+00
3.961584633853541426e+00	9.884800767717992542e+00
3.971588635454181837e+00	9.885100462835744395e+00
3.981592637054822248e+00	9.885399490269351830e+00
3.991596638655462215e+00	9.885697850944293208e+00
4.001600640256102182e+00	9.885995545787583438e+00
4.011604641856743036e+00	9.886292575727754439e+00
4.021608643457383003e+00	9.886588941694844479e+00
4.031612645058022970e+00	9.886884644620376861e+00
4.041616646658663825e+00	9.887179685437351040e+00
4.051620648259303792e+00	9.887474065080212426e+00
4.061624649859943759e+00	9.887767784484852385e+00
4.071628651460584614e+00	9.888060844588576259e+00
4.081632653061224580e+00	9.888353246330103374e+00
4.091636654661864547e+00	9.888644990649531508e+00
4.101640656262505402e+00	9.888936078488338666e+00
4.111644657863145369e+00	9.889226510789359992e+00
4.121648659463785336e+00	9.889516288496761121e+00
4.131652661064426191e+00	9.889805412556045283e+00
4.141656662665066158e+00	9.890093883914014228e+00
4.151660664265706124e+00	9.890381703518766443e+00
4.161664665866346979e+00	9.890668872319672289e+00
4.171668667466986946e+00	9.890955391267366892e+00
4.181672669067626913e+00	9.891241261313730604e+00
4.191676670668267768e+00	9.891526483411865911e+00
4.201680672268907735e+00	9.891811058516095656e+00
4.211684673869547701e+00	9.892094987581934618e+00
4.221688675470188556e+00	9.892378271566080628e+00
4.231692677070828523e+00	9.892660911426400361e+00
4.241696678671468490e+00	9.892942908121906243e+00
4.251700680272109345e+00	9.893224262612749342e+00
4.261704681872749312e+00	9.893504975860196282e+00
4.271708683473389279e+00	9.893785048826620354e+00
4.281712685074030134e+00	9.894064482475483757e+00
4.291716686674670100e+00	9.894343277771321610e+00
4.301720688275310067e+00	9.894621435679724186e+00
4.311724689875950922e+00	9.894898957167328035e+00
4.321728691476590889e+00	9.895175843201796440e+00
4.331732693077230856e+00	9.895452094751803429e+00
4.341736694677871711e+00	9.895727712787024899e+00
4.351740696278511678e+00	9.896002698278113741e+00
4.361744697879151644e+00	9.896277052196694513e+00
4.371748699479792499e+00	9.896550775515340348e+00
4.381752701080432466e+00	9.896823869207565849e+00
4.391756702681072433e+00	9.897096334247807548e+00
4.401760704281713288e+00	9.897368171611407917e+00
